Seed,Score,Oops,BlueprintBrainstorm,InvisibleJoker,Hack,Fibonacci,8Ball,Negative
69Q6FLA9,10,2,0,0,1,1,1,0
69Q6ZFXR,10,2,1,0,1,1,1,0
69Q9HST8,12,1,0,0,4,1,1,0
69Q64UZ8,10,1,1,0,1,1,1,0
69Q7E7FU,10,2,1,0,1,1,1,0
69QAEQL2,12,2,0,0,2,1,1,1
69QA14TO,11,3,0,0,1,1,1,0
69Q7CQBP,10,2,0,0,1,1,1,0
69Q76QSQ,10,2,0,0,2,1,1,0
69Q5LL9T,10,1,2,0,1,1,1,0
69Q2XCLK,11,2,0,0,2,1,1,1
69Q96UTS,10,1,1,0,2,1,1,0
69Q7TIBB,11,1,2,0,1,1,1,0
69Q92F2C,11,1,0,0,3,1,1,1
69QC5U8S,10,2,1,0,1,1,1,0
69QCI74N,12,3,1,0,1,1,1,0
69QA74MQ,10,2,0,0,1,1,1,0
69QDOGKH,10,1,2,0,1,1,1,0
69QFH3FW,10,1,1,0,2,1,1,0
69QBHXTL,11,2,0,0,2,1,1,1
69Q4XVF7,10,2,1,0,1,1,1,0
69QIQTQ7,11,2,1,0,1,1,1,1
69QBJNQH,10,1,0,0,3,1,1,0
69Q9HOLJ,10,2,1,0,1,1,1,0
69QC8WMN,12,1,1,0,1,1,1,1
69QDRBYM,10,2,1,0,1,1,1,0
69QFTEVJ,10,1,2,0,1,1,1,0
69QLPROD,12,2,1,0,2,1,1,0
69QC7HAW,10,1,1,0,2,1,1,0
69QETB6A,10,2,1,0,1,1,1,0
69QKR1MU,10,2,1,0,1,1,1,0
69QHWR9R,10,1,2,0,1,1,1,0
69QNDPRE,10,1,2,0,1,1,1,0
69QG52TX,10,1,1,0,1,1,1,0
69QIBIXF,10,1,0,0,2,1,1,0
69QPQ8IZ,10,1,1,0,2,1,1,0
69QEN4D1,10,2,0,0,2,1,1,0
69QG1VKY,10,1,1,0,2,1,1,0
69QO4P6X,12,1,1,0,3,1,1,0
69QJNQHQ,12,2,1,0,2,1,1,0
69QGZQ83,11,3,0,0,1,1,1,1
69QIWTIT,10,3,0,0,1,1,1,0
69QI5IDU,13,2,0,0,3,1,1,1
69QM7CK8,10,1,0,0,3,1,1,0
69QK41VN,14,2,0,0,3,1,1,1
69QU5KUR,11,2,0,0,2,1,1,0
69QMXCTU,10,2,1,0,1,1,1,0
69QKEQ6G,10,1,1,0,2,1,1,0
69QGOUKO,12,4,0,0,1,1,1,0
69QIBG88,10,3,0,0,1,1,1,0
69QPK1YO,11,2,0,0,1,1,1,1
69QMJQ3M,10,2,0,0,2,1,1,0
69QVVQR8,10,1,1,0,1,1,1,0
69QMXHK5,12,2,0,0,2,1,1,0
69QJJB4B,12,2,0,0,2,1,1,2
69QL13UX,10,2,1,0,1,1,1,0
69QOFGNL,11,1,1,0,2,1,1,0
69QYCBQX,10,1,2,0,1,1,1,0
69QNMZUR,10,2,1,0,1,1,1,0
69QVXE3S,10,1,0,0,2,1,1,0
69QOOLBH,10,1,0,0,2,1,1,0
69QUDD4R,10,2,0,0,2,1,1,0
69R6I5HG,11,1,2,0,1,1,1,0
69QTA19H,10,2,1,0,1,1,1,0
69QSJ6NN,10,1,1,0,1,1,1,0
69QODY9N,10,1,0,0,2,1,1,0
69QXGSYO,13,1,2,0,2,1,1,1
69QMUH6S,10,1,2,0,1,1,1,0
69QRYA94,10,1,1,0,1,1,1,0
69QQ1YIW,10,1,2,0,1,1,1,0
69QX4IQJ,12,1,1,0,3,1,1,0
69QT5EXN,10,1,1,0,2,1,1,0
69QVO2R4,10,1,1,0,1,1,1,0
69R5NWXB,12,3,0,0,1,1,1,0
69QSTZLL,10,1,1,0,1,1,1,0
69R3BK46,10,2,1,0,1,1,1,0
69R2HIFP,11,2,0,0,2,1,1,1
69QX7KVE,11,2,1,0,1,1,1,0
69QYAQQ9,10,1,2,0,1,1,1,0
69QP9CPJ,10,1,2,0,1,1,1,0
69QV2MJD,12,2,1,0,1,1,1,0
69QRKLXP,10,2,1,0,1,1,1,0
69R832FT,10,1,2,0,1,1,1,0
69QUPLQF,10,1,0,0,3,1,1,0
69QVMLFS,11,1,1,0,1,1,1,1
69QZ9KGY,12,3,0,0,1,1,1,1
69R1FP2M,10,2,1,0,1,1,1,0
69R8LCEQ,11,3,0,0,1,1,1,1
69QVRAN9,11,1,1,0,2,1,1,0
69R7SUPA,12,1,0,0,3,1,1,0
69R6XALF,11,2,1,0,1,1,1,0
69R1LXED,11,1,0,0,3,1,1,1
69R2HEVI,10,1,1,0,1,1,1,0
69R8DZ6H,11,2,1,0,1,1,1,1
69R4U1SE,10,2,0,0,2,1,1,0
69RH2XDA,10,1,1,0,2,1,1,0
69QSEPDZ,10,2,0,0,2,1,1,0
69R2WTQ7,10,1,1,0,2,1,1,0
69RCNNR1,10,1,1,0,1,1,1,0
69QT787E,10,2,1,0,1,1,1,0
69QTKYOJ,12,1,1,0,1,1,1,1
69QTJASH,10,1,0,0,3,1,1,0
69QWUBG8,11,2,0,0,1,1,1,1
69R2WSG9,10,2,1,0,1,1,1,0
69QWULCT,12,1,0,0,4,1,1,0
69QXROTZ,13,2,1,0,1,1,1,1
69R9UUS5,10,1,0,0,3,1,1,0
69QZ6CU8,10,1,1,0,1,1,1,0
69R648I5,12,3,0,0,2,1,1,0
69RLTIQZ,10,2,0,0,2,1,1,0
69R5ETNB,10,1,2,0,1,1,1,0
69R414BP,10,1,2,0,1,1,1,0
69R4SKJ7,12,1,1,0,3,1,1,0
69R3EOG1,10,3,0,0,1,1,1,0
69REBSMX,10,1,1,0,1,1,1,0
69R286UD,12,2,0,0,2,1,1,0
69RA3INF,10,1,2,0,1,1,1,0
69RDA5Q9,10,2,0,0,1,1,1,0
69RHCB7R,10,3,0,0,1,1,1,0
69R8JXYJ,11,1,0,0,3,1,1,0
69R58QGO,11,3,0,0,1,1,1,0
69R4M9E4,10,2,1,0,1,1,1,0
69R4KPTR,10,3,0,0,1,1,1,0
69R8DX8F,10,1,1,0,1,1,1,0
69R9LKWU,10,1,2,0,1,1,1,0
69RMIZO6,10,1,2,0,1,1,1,0
69R7F8BN,10,1,2,0,1,1,1,0
69R9ZJ1Z,12,2,0,0,2,1,1,2
69RMWX2E,10,1,1,0,1,1,1,0
69RA4UD3,10,2,1,0,1,1,1,0
69RJY15S,13,2,1,0,1,1,1,3
69RKLYS3,10,3,0,0,1,1,1,0
69RBOV9Q,10,2,1,0,1,1,1,0
69R7W61S,10,1,1,0,2,1,1,0
69R23VGP,10,2,1,0,1,1,1,0
69R93FD1,10,1,1,0,1,1,1,0
69RMS7RI,10,2,1,0,1,1,1,0
69RCEETP,14,3,1,0,1,1,1,2
69R8GUK8,11,3,0,0,1,1,1,0
69RJZBGE,11,1,2,0,1,1,1,0
69R97TXN,10,2,1,0,1,1,1,0
69RFR2S9,12,2,1,0,2,1,1,0
69RRLHJI,10,1,1,0,2,1,1,0
69ROVQNV,13,2,0,0,2,1,1,1
69QXZBXI,10,2,1,0,1,1,1,0
69RDNPYP,10,2,1,0,1,1,1,0
69RDM9Q3,11,2,1,0,1,1,1,1
69RHGT45,10,3,0,0,1,1,1,0
69RHFDKS,10,1,0,0,2,1,1,0
69RCM7SQ,10,2,1,0,1,1,1,0
69RFPKGP,10,1,2,0,1,1,1,0
69RFMH86,10,3,0,0,1,1,1,0
69R8DTNS,10,1,0,0,2,1,1,0
69RQYXOA,11,1,0,0,3,1,1,1
69RU7YDU,10,1,1,0,1,1,1,0
69RATGD7,10,2,0,0,1,1,1,0
69RU6J27,10,1,2,0,1,1,1,0
69RC9QKY,11,1,2,0,1,1,1,1
69S44XPT,10,1,1,0,1,1,1,0
69RMYCMP,10,1,2,0,1,1,1,0
69RI7S1A,11,2,1,0,1,1,1,1
69RTZKU7,12,1,1,0,2,1,1,0
69R68X5V,10,3,0,0,1,1,1,0
69R9OU9F,10,2,0,0,2,1,1,0
69RVYEI4,10,2,1,0,1,1,1,0
69RF2N38,11,1,0,0,2,1,1,1
69RX3XGO,10,1,1,0,1,1,1,0
69S41SCF,10,1,1,0,1,1,1,0
69RJK89E,10,1,2,0,1,1,1,0
69RN5IYX,10,2,1,0,1,1,1,0
69R3SCCD,10,2,0,0,2,1,1,0
69RSAUMN,10,1,2,0,1,1,1,0
69RLZO2J,10,1,1,0,2,1,1,0
69S5KAMH,10,1,2,0,1,1,1,0
69RKH6QM,10,1,2,0,1,1,1,0
69RJRWDZ,10,1,2,0,1,1,1,0
69RPX7RQ,10,2,0,0,2,1,1,0
69RIOH84,10,1,2,0,1,1,1,0
69RZDGJE,10,2,0,0,2,1,1,0
69RFPII5,10,1,2,0,1,1,1,0
69RMM2YX,10,1,2,0,1,1,1,0
69RO3XOO,10,2,1,0,1,1,1,0
69RHLDQW,12,2,1,0,1,1,1,0
69S1UKA9,10,1,1,0,1,1,1,0
69SDK4JB,10,2,0,0,1,1,1,0
69ROU6HQ,10,2,0,0,1,1,1,0
69RNG3QF,12,2,0,0,2,1,1,1
69SB64CT,14,2,0,0,3,1,1,2
69RG31BT,12,1,0,0,2,1,1,1
69RL3MT1,12,3,0,0,2,1,1,0
69RM9RVZ,12,2,0,0,3,1,1,0
69SDIF9K,12,3,0,0,2,1,1,0
69RZGDQN,12,1,0,0,3,1,1,1
69ROYN6W,11,1,1,0,1,1,1,1
69RRLHPF,10,1,1,0,1,1,1,0
69RX744C,10,1,1,0,2,1,1,0
69RB22WP,10,1,1,0,1,1,1,0
69SFY1FS,10,2,1,0,1,1,1,0
69SGTLF2,11,2,0,0,2,1,1,1
69S1VVGU,10,1,0,0,3,1,1,0
69RX5J1C,11,1,2,0,1,1,1,1
69RIOQAP,10,1,2,0,1,1,1,0
69RSGWQA,11,1,1,0,2,1,1,0
69RUN8JX,12,1,1,0,2,1,1,0
69RV3O5N,12,2,1,0,2,1,1,0
69S1R96H,10,2,0,0,2,1,1,0
69S4UYGA,12,1,0,0,2,1,1,0
69S4WED2,10,1,1,0,2,1,1,0
69RS6B5B,11,2,0,0,2,1,1,0
69S92MGI,11,1,2,0,1,1,1,0
69RWSEGZ,11,1,1,0,1,1,1,1
69RW2CE6,10,1,1,0,2,1,1,0
69S14D83,10,2,1,0,1,1,1,0
69S14K9D,11,1,1,0,1,1,1,1
69RSUUCH,10,2,1,0,1,1,1,0
69RXKV7D,11,1,2,0,1,1,1,0
69RSUQXD,10,2,0,0,1,1,1,0
69SAYVEI,10,2,1,0,1,1,1,0
69RUH8ZR,10,2,1,0,1,1,1,0
69SB7FRV,10,2,0,0,2,1,1,0
69SPKC66,10,1,1,0,2,1,1,0
69SBJNVZ,12,1,1,0,2,1,1,0
69RZU51G,10,1,1,0,2,1,1,0
69RTGZ47,10,2,0,0,2,1,1,0
69RST7XR,10,1,2,0,1,1,1,0
69SGJ5WB,10,1,2,0,1,1,1,0
69SFIWZB,10,2,0,0,1,1,1,0
69S4H9NM,10,1,0,0,3,1,1,0
69S1JT2R,10,2,0,0,1,1,1,0
69RV56BK,12,1,3,0,1,1,1,0
69SH3VK1,11,1,1,0,2,1,1,0
69SLW46H,11,3,0,0,1,1,1,1
69SBAPQC,11,1,1,0,2,1,1,0
69SCLKT4,11,3,0,0,1,1,1,1
69SAHZCZ,10,1,1,0,2,1,1,0
69S2XL1R,10,2,1,0,1,1,1,0
69RZ4BIN,10,1,1,0,1,1,1,0
69S1GNBP,16,1,0,0,3,1,1,4
69SGHJXB,10,1,2,0,1,1,1,0
69S5CO5M,10,2,1,0,1,1,1,0
69S1W2SM,10,2,1,0,1,1,1,0
69S9759E,12,1,2,0,2,1,1,0
69S29919,11,1,2,0,1,1,1,1
69RYU63M,10,2,0,0,1,1,1,0
69SP6JCY,11,1,1,0,1,1,1,1
69S4E7DS,10,1,0,0,2,1,1,0
69RZL2KN,10,1,2,0,1,1,1,0
69RX2BHD,10,2,0,0,2,1,1,0
69S9XAN2,10,1,0,0,3,1,1,0
69S41PP6,10,2,1,0,1,1,1,0
69SR8DST,12,2,0,0,2,1,1,2
69SHG973,10,3,0,0,1,1,1,0
69SL7GYL,12,2,1,0,2,1,1,0
69T8UWXR,10,1,0,0,2,1,1,0
69S771RB,13,2,1,0,2,1,1,1
69S88QNA,10,1,1,0,1,1,1,0
69RZUBUA,12,1,2,0,1,1,1,1
69SGV4AC,10,1,2,0,1,1,1,0
69STYVF9,10,2,0,0,2,1,1,0
69SXCLQE,10,3,0,0,1,1,1,0
69SDTBWZ,11,1,1,0,2,1,1,1
69SPTJW2,11,1,1,0,2,1,1,1
69SETDEE,10,1,0,0,3,1,1,0
69S1VZ5Q,10,2,0,0,2,1,1,0
69STMOFI,10,1,2,0,1,1,1,0
69T1HFM3,10,1,0,0,3,1,1,0
69SGTQYP,10,1,0,0,3,1,1,0
69S9O4X6,10,1,1,0,2,1,1,0
69T16SAM,12,2,2,0,1,1,1,0
69T5AG9I,11,2,1,0,1,1,1,1
69SQ8FAJ,10,1,2,0,1,1,1,0
69RZGIND,13,3,0,0,1,1,1,1
69SXOTUF,11,1,2,0,1,1,1,1
69SJMGAW,10,1,1,0,2,1,1,0
69SJUAK7,10,2,0,0,2,1,1,0
69SQWYKU,10,1,2,0,1,1,1,0
69S6NM3U,10,2,1,0,1,1,1,0
69SW99HL,11,1,2,0,1,1,1,1
69SZ8A8C,10,2,1,0,1,1,1,0
69SXZJ9C,11,2,0,0,1,1,1,1
69RROHM8,10,3,0,0,1,1,1,0
69SS6ZFG,10,2,0,0,1,1,1,0
69SCLDHB,10,1,1,0,1,1,1,0
69SH8DZ1,10,2,1,0,1,1,1,0
69RS9BG2,10,1,1,0,2,1,1,0
69S6NMOK,10,2,1,0,1,1,1,0
69S3C9OD,10,1,1,0,2,1,1,0
69SHQTU8,10,1,0,0,2,1,1,0
69SGTQFA,10,1,2,0,1,1,1,0
69SC1OQK,10,2,0,0,2,1,1,0
69T9WLPK,10,3,0,0,1,1,1,0
69SEZNIX,11,2,0,0,2,1,1,0
69SCUQMZ,10,2,0,0,2,1,1,0
69SB62HP,10,1,1,0,1,1,1,0
69SN68UT,10,2,1,0,1,1,1,0
69T81PH6,10,1,1,0,2,1,1,0
69T5L6RO,10,1,2,0,1,1,1,0
69S4WCRL,12,2,1,0,2,1,1,0
69T23ZOL,10,1,0,0,3,1,1,0
69SGTSL3,10,1,1,0,2,1,1,0
69SHBK1W,10,2,1,0,1,1,1,0
69SPCW2N,11,1,0,0,2,1,1,0
69S811ZK,12,1,1,0,2,1,1,0
69SMIFXZ,10,2,0,0,1,1,1,0
69SNGZ8N,11,1,1,0,2,1,1,1
69SZ5563,10,2,0,0,2,1,1,0
69SCDTXR,10,1,2,0,1,1,1,0
69T9CQD1,10,2,1,0,1,1,1,0
69SQV5DN,10,1,1,0,2,1,1,0
69SC1GX2,11,1,1,0,2,1,1,1
69SJETA2,10,2,0,0,2,1,1,0
69SHBIEW,10,1,2,0,1,1,1,0
69SJ13RD,10,2,0,0,2,1,1,0
69SL34XM,10,2,1,0,1,1,1,0
69SGKIQ4,10,2,1,0,1,1,1,0
69SM65FU,14,2,1,0,3,1,1,0
69SXY1S4,12,2,2,0,1,1,1,0
69SF83GN,10,1,0,0,3,1,1,0
69S79UT2,10,2,1,0,1,1,1,0
69S421IP,11,2,1,0,1,1,1,0
69SGM8CS,10,1,2,0,1,1,1,0
69TUWTSK,11,2,1,0,1,1,1,0
69SJVTJ4,10,3,0,0,1,1,1,0
69SD1MH5,10,1,2,0,1,1,1,0
69SG3WID,12,2,2,0,1,1,1,0
69STACJN,11,2,0,0,1,1,1,0
69T8FPUY,10,1,1,0,1,1,1,0
69SNN3R5,10,2,0,0,2,1,1,0
69SRQQFD,10,1,1,0,2,1,1,0
69T89M4X,10,2,1,0,1,1,1,0
69SMQ77I,10,1,2,0,1,1,1,0
69SXDZDJ,10,1,0,0,2,1,1,0
69SNRRN8,10,3,0,0,1,1,1,0
69SMZ479,10,2,1,0,1,1,1,0
69SQQMT6,10,1,1,0,2,1,1,0
69SWFEG5,10,1,1,0,2,1,1,0
69TH67US,12,3,0,0,1,1,1,1
69SXN9NQ,12,1,2,0,2,1,1,0
69SPZMHW,10,3,0,0,1,1,1,0
69SSTZZE,10,1,1,0,2,1,1,0
69SMN2VP,11,1,1,0,1,1,1,0
69SQNKTA,10,1,0,0,2,1,1,0
69SOE61O,10,1,1,0,1,1,1,0
69T1BIRV,10,1,1,0,1,1,1,0
69SW4VJE,11,2,0,0,1,1,1,1
69TPRCZC,10,2,0,0,2,1,1,0
69SKSV9Y,10,1,1,0,1,1,1,0
69SP85QS,13,2,0,0,2,1,1,2
69SR2DSM,10,1,2,0,1,1,1,0
69SLDPMI,10,1,0,0,2,1,1,0
69STDE1I,11,1,0,0,2,1,1,0
69T5UFUC,10,2,0,0,2,1,1,0
69THWC9P,11,1,1,0,2,1,1,1
69SU2VOT,10,1,0,0,3,1,1,0
69SYFNN7,10,2,1,0,1,1,1,0
69TJWIDB,10,3,0,0,1,1,1,0
69SV4HMT,12,3,1,0,1,1,1,0
69T5F7NR,12,1,1,0,3,1,1,0
69T4YWSR,10,2,1,0,1,1,1,0
69T1G197,11,1,2,0,1,1,1,1
69T736Z3,10,3,0,0,1,1,1,0
69SLJVLY,10,1,2,0,1,1,1,0
69U43I4J,12,1,2,0,1,1,1,1
69T669F9,10,2,0,0,2,1,1,0
69U5EF9E,10,2,1,0,1,1,1,0
69TJZQ6W,10,2,1,0,1,1,1,0
69T7RS33,10,1,0,0,3,1,1,0
69SR71ZW,10,1,1,0,1,1,1,0
69T2A65Y,10,1,1,0,1,1,1,0
69TPT3KB,10,2,0,0,2,1,1,0
69T1VGF6,12,1,2,0,1,1,1,2
69TCVLI8,10,1,0,0,3,1,1,0
69SY9GUZ,11,1,0,0,3,1,1,1
69T64QCM,10,1,1,0,2,1,1,0
69T5R7S4,11,1,2,0,1,1,1,0
69TWMA5Q,10,1,0,0,3,1,1,0
69SW7MGV,11,2,1,0,1,1,1,0
69TF95OL,12,2,1,0,2,1,1,0
69TB6UER,11,2,0,0,1,1,1,0
69SNLT3J,10,1,1,0,1,1,1,0
69TS6MHT,10,2,1,0,1,1,1,0
69TXJFW2,10,2,1,0,1,1,1,0
69TPYYFW,11,1,0,0,3,1,1,1
69T3GEK2,10,1,2,0,1,1,1,0
69TEF2M4,10,1,0,0,2,1,1,0
69TEVXDR,10,2,0,0,2,1,1,0
69UAF5MK,10,1,1,0,2,1,1,0
69SWW4JE,11,1,2,0,1,1,1,1
69TCD72C,10,1,2,0,1,1,1,0
69TN5OD7,11,2,1,0,1,1,1,0
69TMVF7F,10,1,2,0,1,1,1,0
69T2QU2A,10,1,0,0,3,1,1,0
69THIG1R,10,2,0,0,1,1,1,0
69U2ONA5,10,1,2,0,1,1,1,0
69TK25SD,10,2,0,0,1,1,1,0
69TCVHSX,10,2,0,0,2,1,1,0
69TN5U4Q,10,1,1,0,1,1,1,0
69T89FAQ,10,1,1,0,1,1,1,0
69T99T6I,10,2,0,0,1,1,1,0
69SMAXV3,10,1,1,0,2,1,1,0
69SUAOG8,10,2,0,0,2,1,1,0
69SHNR59,12,3,1,0,1,1,1,0
69T8RWFS,10,2,0,0,2,1,1,0
69TDL4HZ,10,2,0,0,2,1,1,0
69T4VTW5,10,1,1,0,2,1,1,0
69T47H8A,10,2,0,0,2,1,1,0
69T2YLBE,10,2,1,0,1,1,1,0
69T15E7E,10,1,0,0,3,1,1,0
69TB418F,11,1,2,0,1,1,1,1
69TXA8SN,11,1,2,0,1,1,1,1
69TB5GE2,10,1,2,0,1,1,1,0
69T8WE78,11,3,0,0,1,1,1,1
69SU5ZNQ,11,2,0,0,2,1,1,0
69TPMWB3,12,3,0,0,1,1,1,1
69TWPJAA,11,1,1,0,1,1,1,1
69T9OYCF,10,2,0,0,2,1,1,0
69U7X5CQ,10,1,1,0,1,1,1,0
69TOYTBV,10,2,0,0,2,1,1,0
69UCFGC9,10,1,1,0,2,1,1,0
69SVRDJ6,10,1,1,0,2,1,1,0
69T8ONDI,12,2,0,0,3,1,1,0
69U7U2BY,10,2,0,0,1,1,1,0
69UQWY5Y,12,1,1,0,2,1,1,0
69U7O217,12,3,0,0,1,1,1,1
69TFSXLU,10,1,0,0,3,1,1,0
69TEGIOB,10,1,0,0,3,1,1,0
69UHEWCK,10,2,0,0,2,1,1,0
69TQ9AX4,10,2,0,0,1,1,1,0
69UIO1IF,12,1,2,0,1,1,1,1
69TEHZDF,12,2,1,0,1,1,1,0
69U1JXHE,10,2,0,0,2,1,1,0
69UH761K,10,3,0,0,1,1,1,0
69U7VP92,10,1,1,0,2,1,1,0
69UBQ4NG,10,1,1,0,2,1,1,0
69UB4PM3,10,1,1,0,2,1,1,0
69TN77DK,12,3,0,0,1,1,1,0
69UDH9NG,10,2,1,0,1,1,1,0
69TKCZHM,10,2,0,0,1,1,1,0
69U8R9IP,10,1,0,0,3,1,1,0
69SZCPJ5,10,1,0,0,3,1,1,0
69TCSL5L,10,2,1,0,1,1,1,0
69U1CHKB,10,1,0,0,3,1,1,0
69T1SCHD,12,1,1,0,1,1,1,1
69TOI8V7,10,1,2,0,1,1,1,0
69TJB4JU,10,1,1,0,2,1,1,0
69TGJSF3,10,1,1,0,1,1,1,0
69UHHVK6,10,1,2,0,1,1,1,0
69USAJEP,10,2,1,0,1,1,1,0
69UENIVJ,10,2,1,0,1,1,1,0
69TKVCLQ,13,1,2,0,2,1,1,1
69VASFEN,12,3,0,0,2,1,1,0
69UK9BTR,10,1,2,0,1,1,1,0
69UDRUQ3,12,3,0,0,1,1,1,0
69TBEEO5,10,1,0,0,3,1,1,0
69UDQH5Q,10,2,0,0,2,1,1,0
69UG2JJ2,12,2,2,0,1,1,1,0
69TG7PA7,10,1,1,0,2,1,1,0
69TZICMU,10,1,2,0,1,1,1,0
69THQ5MC,10,1,1,0,1,1,1,0
69TN2L5O,12,1,1,0,2,1,1,0
69TLVD7L,10,1,1,0,1,1,1,0
69T93OYL,10,1,0,0,2,1,1,0
69U9UIST,10,1,1,0,1,1,1,0
69TVWYOU,10,1,1,0,2,1,1,0
69TSWLNY,11,2,1,0,1,1,1,1
69TKFZPX,10,1,0,0,3,1,1,0
69UNFVZ2,10,2,1,0,1,1,1,0
69TLD19P,10,1,1,0,2,1,1,0
69TZMT7L,10,1,0,0,2,1,1,0
69UMWHSO,11,2,1,0,1,1,1,1
69TO48OR,10,1,1,0,2,1,1,0
69TJFT9P,10,1,1,0,1,1,1,0
69UJ2XZH,10,2,1,0,1,1,1,0
69TPPZW1,10,1,1,0,2,1,1,0
69U1AT7Y,10,1,2,0,1,1,1,0
69UWZL8Y,10,1,2,0,1,1,1,0
69UTRI7T,11,1,2,0,1,1,1,1
69UTAQ3Q,10,2,1,0,1,1,1,0
69TRINDH,10,1,2,0,1,1,1,0
69UH48FS,11,1,2,0,1,1,1,1
69UTXOHU,11,2,1,0,1,1,1,0
69U3K6K5,10,2,0,0,2,1,1,0
69TXAFYO,10,2,1,0,1,1,1,0
69VGE2X6,11,2,1,0,1,1,1,0
69U8GJG9,10,1,1,0,1,1,1,0
69U3HDSI,11,1,2,0,1,1,1,0
69UVURMI,10,1,1,0,2,1,1,0
69U14SJ6,10,2,1,0,1,1,1,0
69V2O4OP,11,1,1,0,1,1,1,1
69TZREIL,10,1,0,0,2,1,1,0
69UOLXIM,12,3,0,0,2,1,1,0
69U8SNU8,10,1,1,0,1,1,1,0
69TRAZ4G,10,1,1,0,2,1,1,0
69TXSSE3,12,3,1,0,1,1,1,0
69TWJE7H,10,1,2,0,1,1,1,0
69TVKMWH,11,1,2,0,1,1,1,1
69UEIWGE,11,1,2,0,1,1,1,1
69UNCQCJ,12,3,1,0,1,1,1,0
69USVQGO,10,2,1,0,1,1,1,0
69U1AWNQ,10,1,1,0,1,1,1,0
69TZMTQM,10,3,0,0,1,1,1,0
69U1T9W8,10,2,0,0,2,1,1,0
69UV9AAH,10,2,0,0,2,1,1,0
