Seed,Score
65E2FNX,2791
74IM7NQ,3904
83NUGWY,2739
86EBSMU,3601
87EJ4TV,2625
88X7OQ6,2904
94VYODA,2676
95NH5ID,4577
142EBPD,4506
188IJ7Q,2714
287PUJC,4620
656QO3Y,4648
685BILY,2954
822CY7X,2658
868W85L,2824
921H78G,3656
3677N3A,4656
5871RRG,2762
78756HB,2697
5257487,2833
A3I4HMR,2924
A6NQMSN,2870
A6W5EV7,5755
A8SPWGP,2638
A9ZMUGR,2638
ADGBUXT,2670
AE98X7K,4547
AFPY49M,5642
AGH7LGG,2949
AHPJMXH,3612
AJ8DIIL,2783
AM76LP8,2771
AMFP533,2715
AMY6QP4,7679
ANF7319,2722
AP3YKW5,3538
APMAOLF,3670
AVWAU35,2609
AVXH8OA,2756
B1WDRO5,2710
B4WYH18,4563
B7ITT92,4689
B7O1K1G,3741
B9ZZRD4,2807
BEFWDZ6,2601
BKQMJP7,2695
BM5YOFG,3891
BNBH5YP,3884
BR2YERX,3702
BVX4C72,3608
BYQRBZ9,4962
BYZ6IHB,3799
C1CF3UO,2815
C1DYQ7X,6742
C3DFO58,2804
C5Q7BN9,3547
C6UUMUT,6647
C7T5UMA,2867
C26DLGM,4631
C45JB2J,3660
CFPSBEG,2603
CHRZPTN,4879
CIU4NIH,3732
CJZFCSC,4550
CLDTFHP,6854
CLO73WE,2735
CTM7TCP,2705
CULZCBM,2695
CVUTA79,3627
CZXTLER,3550
D1ZAL8L,3773
DFSQMYQ,3603
DHA9CF7,2763
DHTO8DY,2619
DKQ1XDE,4604
DLA1B3J,2668
DPLELO2,3688
DSN7GMW,3721
DT2C8SH,2792
DVM2NVB,2616
DZMW2VG,2826
E2LSWGF,3565
E3FG7IJ,6594
E4TRBVY,2622
E6OGYVF,5655
E9DM3ZZ,3488
EDFN5BP,2613
EFC6F9F,4770
EH2IL9X,3578
EHB67TW,4542
EIAEGUX,4486
EIO6AVU,2863
EL3TQAZ,4798
EMJ4RYE,5840
EMJR3W8,2850
EPE8HAW,2728
EPGI127,2610
EPR7DJH,3631
ES8PMPX,2665
EXT8A2S,2598
EZ4BR6P,2672
F1LNTGB,2811
F3QKR34,2733
F3WNIU6,3683
F4WMR3C,2653
F6Q724R,3571
F8ASEA1,3809
F81PSTV,2649
FDQDG3Y,2661
FH52V2S,4609
FI1DT6B,3605
FJQ7OB6,2828
FL3ECTS,5578
FOWH7AC,2847
FP5LAUH,2832
FPQ1LR7,4656
FQJJ93P,4646
FQY3SYF,4506
FTG8IFR,4527
FTZGFSE,3724
FULPWWY,4468
FY3O9K5,3645
FZKOVTI,3698
G1JQ2OL,2773
G9HDMQQ,2642
GBVA1FS,3624
GHNNG4K,2693
GHZZR15,3813
GJ7A4R7,3652
GJUYQ6Q,2901
GKJ6BGD,2803
GLKCCEA,2711
GMF74VM,2687
GQBW6JB,5686
GVF9ONB,3520
GW2GGTQ,2664
GW6H1UD,3641
GWNL5QZ,2647
GXBRQOC,4497
GZ29E8I,4548
H2ROTKA,2661
H75Z7IE,2691
HCZ5I29,6705
HI6AUNE,2829
HNJGFH1,2677
HNZS42P,3541
HPZ5ZUC,2836
HRI2ZLU,4680
HTDAMTG,2856
HX1D3IU,4765
I2JTYT2,2642
I4SXA8B,2745
I9OLUK5,2802
I42KVT7,3571
I4888QI,3479
IAUJFXV,3976
IEBQ9J2,3692
IJMRGCE,3903
IK2KECR,2741
IKA5MUJ,3515
IKDTY6P,2766
IKKZLLZ,2802
ITLXBDG,2631
J4MBR31,4488
J6GIO31,4852
J8YLU27,2662
J9XYXXJ,2738
J748ERR,4821
JC9ILQ8,2674
JE7X9Y3,3718
JH9S4AF,2701
JOV3IOX,2621
JQVWK5E,2908
JS5OAYZ,3584
JUQ93YK,3497
JVAIU6I,3622
JXYP1QQ,3462
JYETH8K,3713
JZKTAX7,5642
K2I8E6Q,3511
K6ZWG2Q,2644
KAQXQ1V,3621
KGA9KGB,3613
KO3E58T,3741
KOJ83L5,3746
KOZ2TVA,3634
KPTS9QH,3549
KSCGU8I,3820
KXH2W59,3765
L5DXU6X,3893
L5I3XYH,2743
L6K759X,2761
L6MDMGQ,2805
LB56KQN,2693
LCFT2UY,7780
LCMCPIW,4754
LE5ERCI,4500
LER9GM5,2830
LEUQOUI,3629
LFR5SC1,3481
LGNLLHO,2921
LI9KWMI,4647
LMBCSFY,3522
LPRP1XU,4446
LV8B9BN,2657
M3JDASN,4731
M7T7W4R,2676
M9YR7SR,4784
MCO7NRY,2893
MI8N41B,3708
MP7VVHB,2696
MQ87SKY,4680
MQFTRLH,3654
MRHBA2J,2625
MVG83AB,2772
MXDUQZA,2627
MY3X3BK,4563
MYWXU4H,3579
N1VL6FR,3600
N1Z9RJ5,2822
N4DG9CV,4496
N4E13CL,2865
N4EO56Z,3672
N54I65A,2728
N92FFN8,3438
NAQXKNT,4057
ND6VOF4,3640
NE4NQBP,2602
NG5CMVT,3700
NK9MGZW,4907
NPFA4DK,3734
NYA7Y2S,2713
O1PPHFD,4049
O2INIL8,2760
O6IT79Q,2742
O8FBONH,2837
O8OIH2E,2774
O9FW7KL,2776
O74SOMC,2617
O378HM5,3701
OAMX468,2728
OEGFWG1,4826
OKVSOXH,4616
OLIXQ3W,2762
ON69F5E,3530
ONNA6MT,3741
ONTJD28,2674
OOEUZUL,2727
OOVS58X,2742
ORGW8PN,2858
ORN1X48,3609
ORXJ37X,2618
OU9EOR1,3472
OV117WY,2614
OWUZGJ3,2616
OZT5LAA,4611
P3YSE25,2625
P5IUSJW,2601
P8EE1PO,2739
P56JC3M,4767
P325IW3,2689
PD8T6TJ,2808
PIH8KVV,2729
PIQR8MH,2701
PJ32NLS,4609
PL5UNUW,4695
POXF53C,3700
PPW57SM,2763
PR2ZS69,3931
PRNLIBS,3752
PSXDQKZ,4780
PTMZ5H1,2698
Q1CCCYS,3807
Q1NBZF7,2752
Q1RG2SD,3531
Q3ADBQJ,3638
Q5DE4WL,3720
QCMY9WN,4665
QCNJWMP,2943
QGAVJK5,4740
QLTNCNW,3585
QMCICYQ,3693
QQ7TKHB,3855
QRCERSI,3538
QXAD6G4,2720
QXERES1,2635
QYWOWJJ,3683
R1YJ7RG,2642
R2AXR63,2677
R4SNTT2,3685
R4ZWAT2,2795
R8DXE83,3658
R93L9IW,4782
RBFLNVP,2972
RCJP8LW,4622
RG8A4LY,2920
RG25GTA,3458
RHW2OKK,3745
RICPL8G,2604
RIZO57E,2773
RM6B8AJ,2654
RRCO6VU,2632
RSVAA8O,2872
RVTDVS8,2687
S1DG6T2,4517
S4EY3WI,3577
S6NTGA5,2739
S7XHK1Y,4592
S11QRRI,2652
S251NGG,4604
S392G1M,2610
SCWPJ8U,3086
SDB8XJU,2832
SECBRS1,3730
SF3L63H,2641
SMK7BN4,2655
SPJDCZO,3700
SPRIZU9,2615
SQ7AWWD,2782
SSWJW83,2628
SSWQ3PK,5446
SVYQYYA,3784
SWCPP6P,3847
SWONDNA,2598
SZLK7MA,3677
T1NVJDL,2615
T2CJCLG,2747
T3BGNMH,3800
T4UFBLC,4734
T7F19LV,3555
TA3PHAE,2633
TADK7MN,5705
TECQ9L9,2747
TEKYK4G,2869
TJQE583,2698
TROTPIY,2678
TUU4APG,3595
TVBMADA,3556
TXZRJC9,3410
U9MJGH7,2670
U9RBWOZ,2613
U69YEU7,6517
UAX3ZFX,2604
UBR6AR9,2608
UCQRCB1,2846
UDBO5RZ,3554
UG7ECQ2,2848
UG95XU5,2647
UGZ479R,2655
UH4Q7BB,2636
UHDQHHQ,4846
UHPEBY5,4476
UHRAW5G,2713
UINGDI1,2770
UK6TV16,2813
UMXQOG8,2775
UO4GR5X,2811
UQFW1GM,2694
UU3RW88,3540
UU6V6WS,2684
UV8WUNU,3822
UW8RQJZ,4473
UZICHFA,2672
V1WYZU2,4558
V7GTZWJ,5512
V9G7YW7,3714
V9ROSQM,3778
V885RON,2762
V7311UZ,2664
VA5597J,2632
VE6AKFV,2677
VFR5MHB,2654
VGAP4TM,3584
VHH1W3M,4646
VHQG5M9,3703
VI13XQV,3515
VJFJM1Y,3621
VPD752X,4734
VVJ81FI,3925
W9H256X,2930
W54LYLY,2598
WCM55QR,3599
WCQCXRF,3873
WDI1JXJ,5721
WIL4YJ2,2820
WJJT7CW,2864
WMGIHL4,3720
WUZ4SXL,2929
WVDKWIC,3553
WXET48N,3599
X2RYKDA,2818
X4R8VCA,2693
X7679E3,2740
XDVRAZ6,2763
XG4KGBY,2799
XJAXVLF,4706
XK5FUIS,4813
XKBBEKX,3828
XKVP3VI,4492
XL6EDYX,2608
XXG14YI,4593
Y2WUCA8,2734
Y27P62S,2814
YAL2UBD,3774
YB2IIM8,3410
YDG2WP2,2673
YEA21V6,2837
YFF5M2G,2629
YGBTWYQ,2632
YJ2ABVO,4685
YLLYMZ4,2704
YPLQ4N2,2601
YPOK9T5,2699
YQBZDDQ,4574
YS6F6YC,4766
YVAPY91,4530
Z3NWNG4,6598
Z4Z48TH,2877
Z5SZXON,3519
Z8JN6DH,3854
ZBUXGEH,3771
ZE9WS81,4072
ZGUSQLH,3543
ZNI5PXB,2606
ZOCBB95,3762
ZQ3WO1Y,2794
ZUJ4ESS,2816
1A2LVE9J,4785
1A2OJIZQ,2628
1A7NNOGY,2844
1ABODNTW,5619
1ACFHZPN,3673
1AG7UXIG,2732
1AHNOALP,2655
1AIGA7CW,3630
1ALUGIT4,3850
1APEPSDW,2805
1APHQSDC,4640
1AQ9IJTI,2882
1ARNUZP1,3638
1AYJ8QN9,2760
1B4TB6IZ,3454
1B8UEFGL,3701
1B96BD3Y,3576
1BAIPSSM,3558
1BCC6I8F,2782
1BI7IV9X,2615
1BL6TSC3,3698
1BLE8HF1,3485
1BP9M5AC,4543
1BT21R9M,2602
1BTZFDGQ,3506
1BUY9YDT,3582
1BW52DOL,2807
1BWBH89N,2765
1BXOG6WX,3505
1C2CQYY7,2609
1C8JFJCA,3593
1C512RM8,3656
1CAZ233Q,4677
1CDMJIEQ,4827
1CF7WOQB,2760
1CFVONJ6,2730
1CIAJOCQ,2644
1CJ642A6,6619
1COYSI35,2802
1CPIYWFP,2768
1CRCQEBE,3735
1CTO3RTN,3750
1CXGRM6P,5777
1CZNUNL9,3597
1D1GTIZU,2670
1D6POOOM,3590
1D7DAWMD,3650
1DBJPGO3,4725
1DJU3A9L,2630
1DQ37BCF,2682
1DQH4LIR,3669
1DWNEPKT,2661
1DWVZSC3,2796
1DYPWRDN,4554
1DZODH33,4892
1E1JOROM,2724
1E32L8TP,4847
1E45952I,2623
1EDUXY6U,4565
1EHO9HHH,3095
1EOOR3BW,2609
1EOTUVN4,3649
1EPE7E8Y,3853
1ESUCFA5,4573
1F4PZ2QW,3642
1F32497J,2803
1FAKH5YQ,3586
1FDPFGM3,2664
1FHQBBZQ,2696
1FHX562Z,2730
1FV3AFAY,3805
1FVZW2ZU,4682
1FW5CMO5,2765
1G5U7IIO,2867
1G9D788X,2804
1G9ST4Q4,3659
1GCWUD5A,2775
1GFGQTQU,2735
1GHU7MJP,3875
1GIOJ698,2717
1GK1AZVU,5519
1GKFWGP7,2688
1GKUCI8M,3778
1GLNFBYS,2662
1GRHG3ZQ,2753
1GWK3FFQ,2680
1H3CU438,3431
1H5D4FIA,5580
1H7L5HMO,2718
1H9O5SLP,4895
1H82ZHK6,2629
1HBDCY4X,3889
1HBF6SYI,4603
1HH5Q4PC,2671
1HHHUZU2,4659
1HJ21JD7,2705
1HKXA61N,5624
1HNSB5M5,2770
1HOBD6W4,3742
1HTTLZ1S,4758
1HVBQ2GG,5787
1IA82U18,3827
1IE36AKQ,4596
1IGJASF9,2794
1IH956Q6,2872
1IHYXJL4,2654
1IMFS3T9,4435
1IML6HEA,5542
1INUAVAO,3588
1IPBFIEQ,5541
1IPKIKSJ,2617
1IT5W97V,2646
1IT8VTO5,4711
1ITSDYIT,2920
1IU6ZNE7,3795
1IZ3VZNA,2679
1J1F65T7,2752
1J5VG2FU,3731
1J6L2OPC,3588
1J42N3D1,3570
1JCXLVNO,2661
1JDZVDPB,2787
1JE24VHU,2652
1JICII15,2733
1JIWAW8W,2649
1JJL8L4F,3737
1JMAY76D,2759
1JN5AP7T,4529
1JOH9QHM,3558
1JX77469,3725
1JZTP7DG,2768
1K1YORQU,3686
1K2QN41K,3495
1K5VQ1R4,2601
1K7A3M46,4702
1KA6Y2TD,2859
1KC258VT,4601
1KI1C5EY,2819
1KJO5N9Q,3618
1KLA4KX7,2759
1KMPY7QV,3843
1KQ4LL38,3674
1KSHO5TA,3655
1KT8PRGZ,4692
1KUJG1WN,4657
1KY83XNU,3678
1KZESDVA,3587
1L1U4GAK,2682
1L1XWBB4,2612
1L8LKT74,5715
1L72ZGM9,2742
1L74E5GQ,3603
1LAD1R6M,2806
1LCSSN6Z,3461
1LFQ9IRS,4607
1LGGI3HX,2774
1LGV6OD1,3558
1LNA5J74,4739
1LNU3XWH,2839
1LPYDTHJ,2786
1LTA467A,2848
1LTBE5BA,2626
1LWD7S4H,3722
1LX5V9RV,2660
1M1BHYVI,3868
1M2IJV2L,4462
1M3U1417,3735
1M25JYRV,2627
1M58ZFWM,2684
1MAO32KW,2695
1MCEIW1L,2599
1MDVKHHA,2782
1MF9QKH3,3653
1MHO1JP2,3649
1MNJTFLT,2600
1MPOPDV7,4812
1MPZFVJH,2771
1MQRARPY,4662
1MVAW72K,3684
1N1A977U,3608
1N3MVNDA,4616
1N6PWS3S,3552
1N7PQVYC,2636
1NC8DR1J,2728
1NCBJ6XS,2627
1NCC7HDM,2609
1NGMJHEG,4600
1NIBOV6W,2619
1NJS26QI,3605
1NK5RFXH,3861
1NORCBYK,2626
1NVQRQAQ,2600
1NWRQDGX,2856
1NX9WRP6,3681
1NZMIO44,2674
1NZO2X8A,6518
1O6M6GP6,2643
1O7RZHBE,2688
1OABD2HM,3819
1OFVIUPI,2767
1OMKS9IN,3896
1OUGHO4Y,3501
1OV6UX8V,3582
1OVYZV2U,3649
1OW3IEXO,3687
1OWO6FF3,2740
1OWVP73U,3606
1P2RSBHK,2601
1P3X96RA,3569
1P9EM5MB,3696
1PDK385C,2611
1PHWGL38,3687
1PIKHPNG,2713
1POVO16J,3481
1Q3Y1ZOU,4621
1Q4ITYWK,3621
1Q4R3LMM,2606
1Q5MQTRL,2814
1QBYSLFQ,3542
1QIQQWR3,2638
1QMIZ19U,3607
1QR1LV8B,2851
1QWP7BTG,3780
1R5KBGW5,4610
1R8FXRQW,3510
1R28B8QG,3666
1RMH2UEO,2798
1RPNCR2H,3757
1RR9FQNG,3661
1RWU7JNX,3583
1S1IWBDT,3629
1S999YLG,3589
1SB3FVRP,4567
1SDKLPCK,3699
1SDQ9YUJ,4681
1SH32YL9,2600
1SQJ7HOJ,4052
1SU6FMB2,2721
1SVXB6PO,3480
1TB5RD1V,2706
1TFB588H,2890
1TSOX9F4,5491
1U9K8PPF,2694
1U88TZ67,3527
1U3311VB,2621
1UID1F2A,4605
1UQR446B,2738
1UXY2IXY,2882
1V1PO3LQ,3707
1V2LPWTP,2785
1V58RR9P,2665
1VILYGUD,3635
1VIYXE64,6569
1VLZGVRC,2709
1VTEK53S,4462
1VWW2IQR,3581
1VX7HM1T,3692
1VZINWFR,3844
1W3YSI4Y,2653
1W4TJ76F,2741
1W8VSQP1,2898
1WBEHWPX,2652
1WU8BQ8S,3789
1WYO48Y1,2632
1WYOWIO9,4715
1X984MSI,2691
1XCU4F7E,4852
1XJ7G5QZ,3671
1XJZMAJ5,2668
1XPQAT6F,2627
1XSMLMR5,2637
1YD9S14I,4763
1YEQEQ8F,2720
1YFB9QAW,3628
1YH8WFVE,3484
1YHQ71LO,4617
1YI742F9,2646
1YKJAK59,3628
1YNM2NMI,2851
1YOL9S2W,3615
1YOTBUNC,2897
1YOUP8Q7,2637
1Z39VQRU,3734
1ZN5ZN8N,4601
1ZQY1NVI,3596
1ZS2JKS8,2766
1ZSAGTS9,2781
1ZX7YO6Q,3696
1ZXNV9GH,2774
11D11F4U,3571
11F8GA8R,3681
11HJNADI,4643
11MKEBJ3,2728
11P39Z7L,2645
11SLDWL8,2794
11YSHHKG,3722
12J3UH2N,2752
12J792YQ,3604
12LBZITI,2871
12MWQ76B,2606
12NPGW6R,3729
12OBU4JB,3496
12Q3AZV2,2758
12Q4O9HP,3959
12YDJOLF,4535
13GXBY7U,3702
13HZR4UV,3769
13IB4EM5,4530
13IFV4DK,3747
13MC98EM,2660
13N31YKG,2694
13PH7H1Q,2639
13Q7BB2J,3582
13RIO9UH,3657
13V1K9IA,3517
13VURKP5,3663
13XQELUB,4815
13ZYE6GY,3775
14B61UCS,4543
14EGWRZE,2808
14EI1AJR,2680
14F86G1E,3664
14G76I25,4512
14LS4PPI,3861
14NGQNQE,2889
14OPS5VM,3514
14QXP5RY,2722
14R2754V,3780
14U155ZO,2643
14UM3F26,2884
14UY8NZG,3637
14V7F8GW,2659
14VAI3QK,2622
14X7SIVE,3839
15GP7WTG,2686
15LD63R7,2893
15MQOLPZ,2714
15N1Q6UQ,4590
15N3OEV9,4578
15PNE3WN,3646
15Q4MKLS,2685
15QS1QRU,2636
15QXQTSG,4482
15UT857D,2736
15V1D3ZJ,2733
15WA7O3E,2612
15WB9DBY,4601
16B2OUDN,2933
16CQ4ATO,3708
16D21Q9G,3679
16DP5S62,2644
16FIMVBQ,3807
16HWTTEQ,2800
16J82PVZ,2699
16JDIFL3,2618
16JTJ94Y,2658
16K8FZG6,3701
16L8JP1O,3648
16YF28DO,3584
17AKU7D7,3682
17BJ4BDL,2629
17BWKIOO,3586
17BXQW97,3526
17CA2T5F,4589
17D1Y6KK,2751
17GN5EVN,2609
17JR9MWJ,2757
17KX4OFM,3727
17MEO6RW,3853
17N6CMIT,2603
17NXVFE3,2661
17TZSCCW,3842
17W6LQAY,2645
17Z9SL5Y,3673
18B35HKG,3678
18EEBEZL,4387
18G6JMOF,4822
18KGGUQS,3746
18NTV71P,5706
18OOQPA8,2789
18QQXEZT,3530
18T3E9NX,3506
18T88MEF,2767
18VGRTL8,3790
18W6GFAU,2714
18WOGTCQ,2694
18YQ17PT,2626
18ZYLCTW,2822
19B9SDWR,4683
19BGOGW3,2796
19CK8TQZ,6772
19HDORY7,3670
19JTWRJL,3610
19NF2M4S,2624
19O8WEPC,2740
19PQ835N,3828
19VPKMXC,3594
19WLNIT5,3437
19XANQXG,3664
19XYT9NO,2778
21NLW73U,2662
21NPYRT6,2814
21PY2234,2755
21TEV72R,4618
21VXT272,3541
22I4IHNH,4737
22IF6ET4,2821
22VKJ982,3197
22ZEU74F,2605
23A67XXI,3607
23P25D7N,3584
23X8LD2E,2610
23XL6Y8I,3652
24HSQLJ8,2639
24II3X3B,3502
24MY6QQV,6558
24U4F7MR,2815
24UQ997Y,5913
24VZG82U,2662
25K9V9BR,3814
25KQQOND,3781
25OKX4UV,2680
25SNOX5S,2655
25V2TSDE,3926
25XUVWVU,3653
26FW7FMN,2605
26K3BQRW,2641
27EOKG1C,3544
27VGMQ79,2739
27XKDP9N,2739
28EXISHJ,3561
28G5N1C2,2786
112ZQA6K,2733
117KYFHW,2773
118V793B,3877
123SDZGD,4792
125FO38F,3814
125RKQP7,3801
128JNXQE,2701
132EKMUO,3616
133WS1F9,4634
139J8BBB,3736
147XSFBK,2856
155LFHPL,2755
161JIPTG,4475
162LL5LP,2663
164V8LC3,2727
165BC3DF,3757
165W8EM9,2694
169LDOZL,4458
171L248N,2770
173V5RRY,3597
182QI18B,2691
184W4NIZ,3515
185TTKN3,2788
186K712K,2706
186TN25C,2757
189AUHKK,2616
189V7FDE,4471
192AHJMW,3628
193SVFV2,3735
195ATZUS,2646
197KF13P,2666
198M882G,2708
214SD5KX,2612
246UZH2Z,2602
251ZT3AY,3592
252CLAGS,2713
252U3N8K,2620
253F4FO8,2786
259MCR4X,2880
265TOFK8,3689
282GYWJ5,2795
1513ZBJT,2742
1672LUO7,4675
185839NY,3657
193694UI,3515
