Seed,Twos,DNA,Negtive Jokers,Blueprint/Brainstorm,Death
5SJ7IMHJ ,15,0,1,0,0
5YQ4BUNG ,15,2,1,0,0
6858HOOQ ,15,0,1,0,0
6VTY2W6N ,15,1,1,0,0
7E5M4I2V ,15,0,1,0,0
7F7MEL1Q ,15,0,1,0,0
7S97OCTD ,15,0,1,0,0
7YWQMTBL ,15,0,1,0,0
859FLNCX ,15,0,1,0,0
8NNH2X75 ,15,0,1,0,0
8UHSSA42 ,15,0,1,0,0
99MJZWKH ,15,0,1,0,0
A518EGEW ,15,0,1,0,0
AGG8K652 ,15,0,1,0,0
APT4UIO5 ,15,0,1,0,0
ANBKBPJU ,15,0,1,0,0
AZI6SO1A ,15,0,1,0,0
BO5POSBG ,15,0,1,0,0
AX4FFGHO ,15,0,1,0,0
C9QLDJQZ ,15,0,1,0,0
C2GI5HUC ,15,0,1,0,0
CAN156F3 ,15,0,1,0,0
CX4CNBIT ,15,0,1,0,0
D3PBAC64 ,15,0,1,0,0
CRWBQYSJ ,15,0,1,0,0
CN96M6XJ ,15,0,1,0,0
D7G2A75R ,15,0,1,0,0
COBMG41A ,15,0,1,0,0
DIFR95QK ,15,0,1,0,0
DIDDV2QH ,15,0,1,0,0
E2PSZT2D ,15,0,1,0,0
EKP484TY ,15,0,1,0,0
EA5TY3KL ,15,0,1,0,0
EVTZUEOB ,15,0,1,0,0
FO1XDB7O ,15,0,1,0,0
F9S9EKW9 ,15,0,1,0,0
FTBSCTNK ,15,0,1,0,0
FNVFAM5S ,15,0,1,0,0
FZN15715 ,15,0,1,0,0
GHQACBAB ,15,0,1,0,0
GEXPPQEL ,15,0,1,0,0
G3J5NGV8 ,15,0,1,0,0
GIAHGKOH ,15,0,1,0,0
HR8HHKH7 ,15,0,1,0,0
H59C1L7P ,15,0,1,0,0
HWEELFKJ ,15,0,1,0,0
HYEZ7JGT ,15,0,1,0,0
JJHONRZA ,15,0,1,0,0
K7PVD1DJ ,15,0,1,0,0
JNF1CNOW ,15,0,1,0,0
LJD83B5D ,15,0,1,0,0
L4H5SIU7 ,15,0,1,0,0
KO1BO2DX ,15,0,1,0,0
M5YKENNR ,15,0,1,0,0
LIQBBHG3 ,15,0,1,0,0
LKWA5GTC ,15,0,1,0,0
M7J5F2YE ,15,0,1,0,0
M5DUCVTF ,15,0,1,0,0
N4JV7RUH ,15,0,1,0,0
MRQBJ5QQ ,15,0,1,0,0
M5D7UVZ6 ,15,0,1,0,0
N2XGT3N7 ,15,0,1,0,0
NQKLIDCI ,15,0,1,0,0
NBYS3O83 ,15,0,1,0,0
OESOBPKP ,15,0,1,0,0
OHHN95RM ,15,0,1,0,0
OJIVGRB5 ,15,0,1,0,0
OIHDWOCY ,15,1,1,0,0
OIBJNJM3 ,15,0,1,0,0
P7MA673E ,15,0,1,0,0
OTWS2RJF ,15,0,1,0,0
OVYLL5QW ,15,0,1,0,0
PMXUSNBO ,15,0,1,0,0
PK9QAJMO ,15,0,1,0,0
PIVZDLQW ,15,0,1,0,0
PEDI2DJW ,15,0,1,0,0
QN6F3AK1 ,15,0,1,0,0
Q3Q2G4NH ,15,0,1,0,0
R3F7DK53 ,15,0,1,0,0
QJHI8F7Y ,15,0,1,0,0
RA8D8C3M ,15,0,1,0,0
RAWMLWCB ,15,0,1,0,0
RT22Y9C2 ,15,1,1,0,0
SLNJUYRE ,15,0,1,0,0
SAUB3JVI ,15,0,1,0,0
TKPM8TH4 ,15,0,1,0,0
SIOA1OWE ,15,0,1,0,0
SMEG69J5 ,15,0,1,0,0
STM8C84Q ,15,0,1,0,0
SPJD6YEU ,15,0,1,0,0
SN2NJVZR ,15,0,1,0,0
TT4ZS9YE ,15,0,1,0,0
TCO12FI6 ,15,0,1,0,0
U21PW53J ,15,0,1,0,0
TOI9CW24 ,15,0,1,0,0
TPKH2KTJ ,15,0,1,0,0
UH2XVUWN ,15,0,1,0,0
TLQ4X5JU ,15,0,1,0,0
TKSNNQGY ,15,0,1,0,0
TO1CSRZ9 ,15,0,1,0,0
UXADLHZL ,15,0,1,0,0
VII51ANR ,15,0,1,0,0
UYUIP3FZ ,15,0,1,0,0
V5YA12FR ,15,0,1,0,0
VD3ZJE96 ,15,0,1,0,0
WGZ11EOP ,15,0,1,0,0
VUX13SWN ,15,0,1,0,0
W6UYP65H ,15,0,1,0,0
VFCXQJMI ,15,0,1,0,0
VUUBABL2 ,15,0,1,0,0
VU89GPAR ,15,0,1,0,0
VYHWM9EH ,15,0,1,0,0
XP9WGO59 ,15,0,1,0,0
W15TUL9C ,15,1,1,0,0
WNFIXSHI ,15,0,1,0,0
Y6GRN41U ,15,0,1,0,0
X38SHJW5 ,15,0,1,0,0
YQQXY5L2 ,15,0,1,0,0
XXQL4ICF ,15,0,1,0,0
XKKZFG51 ,15,0,1,0,0
YIH8ZHPD ,15,0,1,0,0
Y6LUV2FQ ,15,0,1,0,0
Z1Q5FXNI ,15,0,1,0,0
ZC7AIK14 ,15,0,1,0,0
YVOQ31C1 ,15,0,1,0,0
HO7V3U8R ,15,1,1,0,0
ADZPLPKC ,15,0,1,0,0
OKXMRTGH ,15,0,1,0,0
9TRDEUI7 ,15,0,1,0,0
8BPVPX48 ,14,2,1,0,0
PDTLMRS2 ,15,0,0,3,0
9EML1XN4 ,16,0,0,2,0
GNJDF8U3 ,16,0,0,2,0
JLA6WABY ,16,0,0,2,0
BC6DRK9J ,15,1,0,2,1
8GPUE2G2 ,15,0,0,2,0
8ZQY5UFH ,15,0,0,2,0
JN3O6XM4 ,15,0,0,2,0
ONCXRJHC ,15,0,0,2,0
XTHMD3AP ,15,0,0,2,0
B9KNZLUH ,18,0,0,1,1
NX3RHUSO ,18,0,0,1,0
ST2T566S ,18,0,0,1,0
4C1B9JCD ,17,0,0,1,0
8O5MN7JN ,17,0,0,1,0
8HMCXJZJ ,17,0,0,1,0
8VH1DSMO ,17,0,0,1,0
9VU69KDW ,17,0,0,1,0
MSAQDPLN ,17,0,0,1,0
QUJU51KY ,17,0,0,1,0
VEHML3VA ,17,0,0,1,0
TYBTS527 ,17,0,0,1,0
VX7GC2BP ,17,0,0,1,0
31W8W2S  ,16,0,0,1,1
1QDGK3LX ,16,0,0,1,1
2HSI5PCD ,16,0,0,1,1
4MQUNTAW ,16,0,0,1,1
7G9EW7CF ,16,0,0,1,1
RDERZI33 ,16,0,0,1,1
U4X5663B ,16,0,0,1,1
Z4VASH3J ,16,0,0,1,1
HYNAS4R  ,16,0,0,1,0
XCLPUBD  ,16,0,0,1,0
17ZG4YN1 ,16,0,0,1,0
2EIZ5JT6 ,16,0,0,1,0
3FI2MMRU ,16,0,0,1,0
3S4R7N71 ,16,0,0,1,0
7RP5O3TU ,16,0,0,1,0
7T6MLFV8 ,16,0,0,1,0
8DTIS95B ,16,0,0,1,0
822PNHZ9 ,16,0,0,1,0
8EL8N8HE ,16,0,0,1,0
A31EBBZA ,16,0,0,1,0
A2T1XMAI ,16,0,0,1,0
9W25LXXF ,16,0,0,1,0
AQKF6IFX ,16,0,0,1,0
AXLNU58W ,16,0,0,1,0
BELIHY6G ,16,0,0,1,0
BR31EMI6 ,16,0,0,1,0
D7JOHUDP ,16,0,0,1,0
DK2ONX61 ,16,0,0,1,0
DVQJLPTS ,16,0,0,1,0
G6VJA944 ,16,0,0,1,0
GH28RDFY ,16,0,0,1,0
GLY3H5JI ,16,0,0,1,0
GS2IIIZ1 ,16,0,0,1,0
GPPLSSW7 ,16,0,0,1,0
GXXI3UKP ,16,0,0,1,0
HQEIO5NB ,16,0,0,1,0
HJB1Q7UK ,16,0,0,1,0
JF1249XK ,16,0,0,1,0
J8LI1I6P ,16,0,0,1,0
JMQCWTVP ,16,0,0,1,0
KT5WSD4J ,16,0,0,1,0
MVABLTBL ,16,0,0,1,0
NDYW27XX ,16,0,0,1,0
NCJY2DCG ,16,0,0,1,0
NV1WNV9Y ,16,0,0,1,0
PBK7VOG7 ,16,0,0,1,0
RHCCX9WQ ,16,0,0,1,0
SEBRRJ4P ,16,0,0,1,0
SP8YXWWM ,16,1,0,1,0
SOL5BOSS ,16,0,0,1,0
TZEP7LCF ,16,0,0,1,0
UD9WJ7JX ,16,0,0,1,0
UIKRI7MV ,16,0,0,1,0
UXBCHKDU ,16,0,0,1,0
UZVCYVDX ,16,0,0,1,0
VKIDW7J1 ,16,0,0,1,0
VKMAWBD8 ,16,0,0,1,0
XFE3O5YE ,16,0,0,1,0
WS4ZRH1T ,16,0,0,1,0
YNB5XKX5 ,16,0,0,1,0
ZYISDFLO ,16,0,0,1,0
HT7FCI56 ,16,0,0,1,0
INPNDODX ,16,2,0,1,0
Y993YBVL ,16,0,0,1,0
2BMH92S  ,15,0,0,1,1
SUHECWM  ,15,0,0,1,1
18T3U8F2 ,15,0,0,1,1
28H6KG3Y ,15,0,0,1,1
7JA9Q2ZH ,15,1,0,1,1
A86KZORG ,15,0,0,1,1
AQYM1PI7 ,15,0,0,1,1
C3ZDTS1Z ,15,0,0,1,1
C9D6A7NB ,15,0,0,1,1
BTF27Z81 ,15,0,0,1,1
BZIFOA6A ,15,0,0,1,1
EF9BOP5D ,15,0,0,1,1
FZ6JM1N1 ,15,0,0,1,1
GZZ7OSCK ,15,0,0,1,1
GXLFE997 ,15,0,0,1,1
GNFCG2YB ,15,0,0,1,1
HNPI3H2Y ,15,0,0,1,1
IBRAKHLB ,15,0,0,1,1
IHDYG2XB ,15,0,0,1,1
KQ41JU7X ,15,0,0,1,1
MBQT5H67 ,15,0,0,1,1
MM8UEGQN ,15,0,0,1,1
O4RQCRTV ,15,0,0,1,1
QZ741LAL ,15,0,0,1,1
QGMRTT3F ,15,0,0,1,1
QLDNM4I5 ,15,0,0,1,1
RJXC594T ,15,0,0,1,1
W3FR37OB ,15,0,0,1,1
WH357QQJ ,15,1,0,1,1
Y7TFGHDB ,15,0,0,1,1
XOH87681 ,15,0,0,1,1
XYW2POYX ,15,0,0,1,1
ZE29TZ5Z ,15,0,0,1,1
19FDVJV  ,15,0,0,1,0
1V3DD8B  ,15,0,0,1,0
2QR8HIQ  ,15,0,0,1,0
6JSHZVS  ,15,0,0,1,0
8DTLBSZ  ,15,0,0,1,0
BLJM37J  ,15,0,0,1,0
CLNQ8IB  ,15,0,0,1,0
DSCY7PA  ,15,0,0,1,0
E5DZNGD  ,15,0,0,1,0
LA8L1CA  ,15,0,0,1,0
OZIWGUA  ,15,0,0,1,0
QMNPSVI  ,15,0,0,1,0
ZCKND9B  ,15,0,0,1,0
12EZHMCC ,15,0,0,1,0
16SDX5JA ,15,1,0,1,0
1BXPOV59 ,15,0,0,1,0
1JFLYPQ3 ,15,0,0,1,0
1IYLHNG1 ,15,0,0,1,0
1LO9E8HP ,15,0,0,1,0
1MLSJL34 ,15,0,0,1,0
1ML62ETD ,15,0,0,1,0
1SGECMZZ ,15,0,0,1,0
1WSDWKEU ,15,0,0,1,0
22Z492PR ,15,0,0,1,0
25OCQ9IX ,15,0,0,1,0
26ML3DEI ,15,0,0,1,0
28G3HGOR ,15,0,0,1,0
2I7PVE3Y ,15,1,0,1,0
2OXP542C ,15,0,0,1,0
2PVYE9XO ,15,0,0,1,0
2RRU3HBH ,15,0,0,1,0
35C39ZAZ ,15,0,0,1,0
3D4ZWRUK ,15,0,0,1,0
3JSMI12Y ,15,1,0,1,0
3QXQUVH3 ,15,0,0,1,0
3Q9EPYIO ,15,0,0,1,0
3TYXBCL6 ,15,0,0,1,0
3UQ3W6PG ,15,0,0,1,0
3UPRSYST ,15,0,0,1,0
3ZKBF34D ,15,0,0,1,0
41HXNS2D ,15,0,0,1,0
45BG2DXP ,15,0,0,1,0
4NTMYTS4 ,15,0,0,1,0
4T45KHTD ,15,0,0,1,0
4RRY4PHG ,15,0,0,1,0
4SUPIQMP ,15,0,0,1,0
4SN24FQN ,15,1,0,1,0
4X3O2WC1 ,15,0,0,1,0
51ZB1JRR ,15,0,0,1,0
53NYOFM5 ,15,0,0,1,0
5DH7A7I8 ,15,0,0,1,0
5ONGFPVB ,15,0,0,1,0
5LZBDFVO ,15,0,0,1,0
5V1JRFJF ,15,0,0,1,0
61T4DY95 ,15,1,0,1,0
5T41OOHW ,15,0,0,1,0
68W4RAHK ,15,0,0,1,0
69LTWHIJ ,15,0,0,1,0
6BU866Y3 ,15,0,0,1,0
6COJJQFP ,15,0,0,1,0
6I4FMJS7 ,15,0,0,1,0
6T3GKLAS ,15,0,0,1,0
6VVD952W ,15,0,0,1,0
6W8WMOZ7 ,15,0,0,1,0
78QBY6G4 ,15,0,0,1,0
7CQVG7R3 ,15,0,0,1,0
7TVHFBFI ,15,0,0,1,0
7TP5S239 ,15,0,0,1,0
7UQAG7RQ ,15,0,0,1,0
7N8A9FZT ,15,0,0,1,0
7XIOFSRH ,15,0,0,1,0
7OV59GYQ ,15,1,0,1,0
7T5RZ48K ,15,0,0,1,0
7SA4UY19 ,15,0,0,1,0
883U7XAA ,15,0,0,1,0
8764F6NB ,15,0,0,1,0
8AVJDIRD ,15,0,0,1,0
8EIFDQKS ,15,0,0,1,0
84Z3EZ21 ,15,0,0,1,0
8NWD3VZR ,15,0,0,1,0
8J5Z313N ,15,0,0,1,0
8G1SCD1L ,15,0,0,1,0
8Z15V756 ,15,0,0,1,0
9AZUQWKF ,15,0,0,1,0
AAQ3MJSV ,15,0,0,1,0
9ZHANKC8 ,15,0,0,1,0
A4AVTYTD ,15,0,0,1,0
AFXTRDQW ,15,0,0,1,0
AN4TBNI3 ,15,0,0,1,0
ANHYM584 ,15,0,0,1,0
AIPMZT7V ,15,0,0,1,0
ASZLH66Q ,15,0,0,1,0
B23GUAEL ,15,0,0,1,0
AXTBRLCQ ,15,0,0,1,0
B2ITHY96 ,15,0,0,1,0
AX9QDPYE ,15,0,0,1,0
BDPNFWQ1 ,15,0,0,1,0
BIA3AYBD ,15,0,0,1,0
BKLFKETP ,15,0,0,1,0
BPK8EFYQ ,15,0,0,1,0
B8QSMUP9 ,15,0,0,1,0
BFN7IM65 ,15,0,0,1,0
BAHVMFES ,15,0,0,1,0
BMSU6UR7 ,15,0,0,1,0
BMEBWNWE ,15,0,0,1,0
BHHE4QZT ,15,0,0,1,0
BHB4Y9TJ ,15,0,0,1,0
BJXNL6MO ,15,1,0,1,0
CGYGDNCN ,15,0,0,1,0
CJ5MD8H7 ,15,0,0,1,0
CRIWD21Y ,15,0,0,1,0
C7YXCGIY ,15,0,0,1,0
C9U6KTFV ,15,0,0,1,0
CFHONZ2N ,15,0,0,1,0
D8HLVDCZ ,15,0,0,1,0
D5IXTQKV ,15,0,0,1,0
DJ5D35SA ,15,0,0,1,0
D7VZC4EC ,15,0,0,1,0
DKALUN1C ,15,0,0,1,0
D3MVUQ8U ,15,0,0,1,0
DHRLUJWS ,15,0,0,1,0
DOHNM58D ,15,0,0,1,0
D4VB3V6R ,15,0,0,1,0
DMMGGQKD ,15,0,0,1,0
DO6H3PBM ,15,0,0,1,0
DX4HAGEI ,15,0,0,1,0
DZ5QLAOD ,15,0,0,1,0
EM84Z23C ,15,0,0,1,0
EN7B9MOU ,15,0,0,1,0
ER2S23JO ,15,0,0,1,0
EIKMSG7X ,15,0,0,1,0
EJMQEF21 ,15,0,0,1,0
F47ZEGWO ,15,0,0,1,0
FELMZMPG ,15,1,0,1,0
EQ84RKI5 ,15,0,0,1,0
FKWN5G5H ,15,0,0,1,0
FORK58V7 ,15,0,0,1,0
FPW8TS1E ,15,0,0,1,0
FB635J3O ,15,0,0,1,0
FB5D1U1A ,15,0,0,1,0
FSLS2VKO ,15,0,0,1,0
FDLFOOPG ,15,0,0,1,0
FDXJG6LC ,15,0,0,1,0
FT5OM4CQ ,15,0,0,1,0
FQY671KZ ,15,0,0,1,0
GGUHPO4A ,15,0,0,1,0
GPJN7946 ,15,0,0,1,0
GDVYQFX9 ,15,0,0,1,0
GRYW2SVZ ,15,0,0,1,0
H5MZGT8K ,15,0,0,1,0
H2KDBREV ,15,0,0,1,0
GC3F8LGP ,15,0,0,1,0
H7GO8ZDN ,15,0,0,1,0
HOI752AM ,15,0,0,1,0
H6R8M3WW ,15,0,0,1,0
HM8OU4U5 ,15,0,0,1,0
HSNXMY6S ,15,0,0,1,0
HGQ95VXH ,15,0,0,1,0
IFJE7XPO ,15,0,0,1,0
HQKDQZ52 ,15,0,0,1,0
HZO6GU68 ,15,0,0,1,0
I6WZS37K ,15,1,0,1,0
IH761O47 ,15,0,0,1,0
I878VKUX ,15,0,0,1,0
IDH77BFG ,15,0,0,1,0
IRVUTH5S ,15,0,0,1,0
ISC7TM23 ,15,0,0,1,0
IXURTEYC ,15,0,0,1,0
J759BMLN ,15,0,0,1,0
K9BR2JEZ ,15,0,0,1,0
JXXEI66F ,15,0,0,1,0
KA4JGY4C ,15,0,0,1,0
JYRGANSK ,15,0,0,1,0
JYZ2OPDI ,15,0,0,1,0
KZKAMHBL ,15,0,0,1,0
JPC5IVIR ,15,0,0,1,0
K97XZ13I ,15,0,0,1,0
K68ACSHI ,15,1,0,1,0
JXZXDSWX ,15,0,0,1,0
KUUWCPKV ,15,0,0,1,0
KWJX8J6E ,15,0,0,1,0
L5XD4OOC ,15,0,0,1,0
L2D89CLE ,15,0,0,1,0
MF1AEED7 ,15,1,0,1,0
L4WRQX14 ,15,0,0,1,0
MDU3GIKO ,15,0,0,1,0
LSSDVVPN ,15,0,0,1,0
MWCT2FN5 ,15,0,0,1,0
MV58H13J ,15,0,0,1,0
MW9PVFR7 ,15,0,0,1,0
N1VL2ZAL ,15,0,0,1,0
N6CVPEP3 ,15,0,0,1,0
N4EE82EN ,15,0,0,1,0
N7LIG923 ,15,0,0,1,0
NBBX3WFX ,15,0,0,1,0
NAB458A9 ,15,0,0,1,0
NUP7KVHV ,15,0,0,1,0
NEVLAMJS ,15,0,0,1,0
NVSLMY5D ,15,0,0,1,0
NJUY1QP1 ,15,0,0,1,0
NJ2B9WHT ,15,0,0,1,0
NONDB51D ,15,0,0,1,0
OIFGCWIX ,15,0,0,1,0
OVJ78IAQ ,15,0,0,1,0
OAFAYCGN ,15,1,0,1,0
O21DM39V ,15,0,0,1,0
OVEH4BJF ,15,0,0,1,0
OKGM8584 ,15,0,0,1,0
OU82Y9BH ,15,0,0,1,0
OMTWHEYF ,15,0,0,1,0
O3FQWC9Q ,15,0,0,1,0
P2UPNSJO ,15,0,0,1,0
OBVXHNA7 ,15,1,0,1,0
OJZCUL42 ,15,0,0,1,0
PZNKL2J2 ,15,0,0,1,0
P4YPPB66 ,15,0,0,1,0
P7VHR8YB ,15,0,0,1,0
PA856HBE ,15,0,0,1,0
PT6LRUNB ,15,0,0,1,0
QX1FW6ML ,15,0,0,1,0
PYYSPF6M ,15,0,0,1,0
PTQXFGML ,15,0,0,1,0
Q4CZ359T ,15,0,0,1,0
POIVBONZ ,15,0,0,1,0
R9PKGDE1 ,15,0,0,1,0
QYTGVQ71 ,15,0,0,1,0
QXSTWADI ,15,0,0,1,0
QDIZNC47 ,15,0,0,1,0
Q6OV7W8U ,15,0,0,1,0
QWFV2GH1 ,15,0,0,1,0
QECCX5WJ ,15,0,0,1,0
QJIZ313G ,15,0,0,1,0
Q6NSLXDP ,15,0,0,1,0
QQNXBN2I ,15,0,0,1,0
S51XAX2E ,15,0,0,1,0
R8P8RQDN ,15,0,0,1,0
R23EHDEJ ,15,0,0,1,0
SJ333N88 ,15,0,0,1,0
RUMFPC3U ,15,0,0,1,0
S1JJDVC2 ,15,0,0,1,0
REQRKIOO ,15,0,0,1,0
RPX7SK7R ,15,1,0,1,0
TALHAI8F ,15,0,0,1,0
RU7NSLK5 ,15,0,0,1,0
RZFVGG3V ,15,0,0,1,0
SKUHJGQ4 ,15,0,0,1,0
SE6ZZANX ,15,0,0,1,0
RRCM16F8 ,15,0,0,1,0
RWSRXOU5 ,15,0,0,1,0
SUGTVSWJ ,15,0,0,1,0
S8EH1KS7 ,15,0,0,1,0
SANAZFDC ,15,0,0,1,0
SDL1UAZU ,15,0,0,1,0
TEJMM3WP ,15,0,0,1,0
SILCS75W ,15,0,0,1,0
SJ3X6RZ3 ,15,0,0,1,0
SN5U2E3B ,15,0,0,1,0
U7OK83EV ,15,0,0,1,0
SQV2TVC7 ,15,0,0,1,0
TBSR1UFD ,15,0,0,1,0
TBLIY47B ,15,1,0,1,0
TJNNZRED ,15,0,0,1,0
TSAZGFMY ,15,0,0,1,0
UJHF1X85 ,15,0,0,1,0
TXHWOD4Z ,15,0,0,1,0
U4ZQIVA3 ,15,0,0,1,0
