Seed,Score,Negative_Jokers,Ace,2,3,4,5,6,7,8,9,Jack,Queen,King,10
MAIL1EMI,77,0,4,2,13,6,1,2,4,7,0,2,6,3,2
MAIL1ENK,77,0,1,2,3,5,3,12,4,3,5,5,3,5,1
MAIL1EOZ,77,0,2,2,5,5,4,1,3,5,5,12,4,2,2
MAIL1F47,77,0,7,4,0,13,2,3,4,4,4,3,1,3,4
MAIL1FAJ,77,0,4,4,2,2,4,5,12,6,2,1,3,4,3
MAIL1FT7,77,0,4,5,12,4,4,2,1,4,5,3,3,4,1
MAIL1FXI,77,0,2,4,4,1,2,12,2,2,6,5,4,2,6
MAIL1GCR,77,0,4,3,4,2,1,1,6,3,4,5,12,4,3
MAIL1HLC,77,0,3,3,3,6,5,3,3,5,3,12,1,1,4
MAIL1HMU,77,0,2,5,12,5,2,4,2,1,4,2,4,5,4
MAIL1HNG,77,0,12,4,1,4,3,5,3,3,4,5,3,3,2
MAIL1HPT,77,0,1,5,6,5,12,2,4,3,1,2,6,3,2
MAIL1HS1,77,0,3,2,6,6,2,1,12,5,4,3,3,1,4
MAIL1I1C,77,0,5,5,2,1,2,12,4,5,2,3,3,5,3
MAIL1I3W,77,0,12,3,4,3,2,2,3,5,4,3,1,8,2
MAIL1IRX,77,0,4,5,3,2,4,4,13,1,7,2,5,2,0
MAIL1IXG,77,0,1,1,6,1,4,5,5,12,2,3,3,4,5
MAIL1J6G,77,0,4,12,1,4,2,4,3,3,3,2,4,5,5
MAIL1JF3,77,0,12,4,3,4,5,4,2,1,4,4,3,3,3
MAIL1JQV,77,0,2,4,3,6,13,1,5,4,1,2,6,5,0
MAIL1KHB,77,0,5,4,13,3,4,0,4,2,6,5,2,2,2
MAIL1KX8,77,0,9,6,2,2,1,12,5,1,4,1,4,3,2
MAIL1KYV,77,0,1,4,4,3,5,2,6,6,5,2,1,1,12
MAIL1LCD,77,0,6,12,3,3,3,6,1,3,3,2,2,5,3
MAIL1LFW,77,0,5,1,2,2,6,12,3,5,2,3,5,4,2
MAIL1LGA,77,0,1,3,6,2,3,12,1,6,7,4,4,1,2
MAIL1LLT,77,0,6,6,5,1,2,12,2,4,4,2,2,4,2
MAIL1LO3,77,0,5,3,3,3,3,2,12,4,3,2,7,3,2
MAIL1M6V,77,0,3,1,1,2,2,2,9,3,4,6,12,5,2
MAIL1MAB,77,0,1,4,2,12,2,7,3,3,3,6,4,2,3
MAIL1MG1,77,0,2,3,3,4,4,2,3,1,2,12,6,2,8
MAIL1MKK,77,0,1,3,1,5,12,3,3,3,4,7,5,3,2
MAIL1MUB,77,0,3,4,3,2,3,3,4,4,7,1,12,2,4
MAIL1MWN,77,0,5,4,5,3,4,4,4,3,12,2,2,3,1
MAIL1NBW,77,0,2,1,6,3,2,3,12,5,5,4,4,2,3
MAIL1NJH,77,0,4,4,1,8,3,4,4,3,13,4,1,0,3
MAIL1NOI,77,0,2,4,5,3,2,6,12,4,2,3,3,4,2
MAIL1O53,77,0,3,2,5,7,12,4,1,4,2,3,4,2,3
MAIL1O8C,77,0,2,3,6,0,3,1,13,6,4,5,5,3,1
MAIL1ODZ,77,0,6,2,1,4,6,2,3,12,2,5,1,2,6
MAIL1OL5,77,0,2,12,5,3,3,5,3,1,2,6,5,3,2
MAIL1ORD,77,0,6,1,3,2,2,4,3,3,1,6,12,3,6
MAIL1OSJ,77,0,5,2,3,1,4,5,12,6,1,2,4,4,3
MAIL1P17,77,0,3,2,6,1,4,6,2,5,12,3,1,3,4
MAIL1PKH,77,0,4,12,2,4,5,4,4,2,3,2,6,2,2
MAIL1PQZ,77,0,12,2,2,1,4,7,3,5,3,4,2,4,3
MAIL1PUM,77,0,3,12,2,1,3,7,6,7,3,2,1,4,1
MAIL1PXC,77,0,3,3,12,2,3,4,3,3,4,1,5,3,6
MAIL1Q1P,77,0,3,2,5,9,1,2,2,3,12,5,3,2,3
MAIL1Q2P,77,0,1,12,3,3,5,6,3,1,4,2,5,5,2
MAIL1Q57,77,0,2,3,3,2,13,10,2,0,4,2,5,4,2
MAIL1Q6J,77,0,2,1,3,3,4,5,4,6,2,2,4,12,4
MAIL1QB1,77,0,2,6,6,1,4,2,12,3,2,2,1,6,5
MAIL1QLY,77,0,4,4,3,4,1,3,4,12,6,3,4,1,3
MAIL1R8B,77,0,1,3,3,9,3,4,2,2,1,3,4,12,5
MAIL1RB4,77,0,2,6,6,5,4,2,3,12,4,3,1,3,1
MAIL1RG6,77,0,2,2,3,3,5,5,4,3,3,12,2,4,4
MAIL1RRL,77,0,5,2,12,2,5,4,3,3,3,3,2,3,5
MAIL1SAZ,77,0,5,2,3,3,2,4,4,4,3,12,3,2,5
MAIL1SDS,77,0,5,1,6,1,3,2,3,3,12,3,5,5,3
MAIL1SJN,77,0,4,3,5,5,3,3,4,6,1,12,3,2,1
MAIL1SPE,77,0,3,3,2,3,5,4,4,4,2,2,6,12,2
MAIL1125,76,0,3,1,3,3,11,3,7,3,2,5,6,2,3
MAIL113B,76,0,3,11,4,6,3,3,2,3,6,2,5,1,3
MAIL116H,76,0,3,4,3,2,4,6,3,2,11,4,5,3,2
MAIL116W,76,0,3,6,3,3,2,1,11,3,6,4,4,4,2
MAIL1185,76,0,6,2,3,1,1,2,5,11,4,7,3,2,5
MAIL11A5,76,0,3,4,4,4,8,1,3,3,3,3,11,3,2
MAIL11AR,76,0,1,4,1,3,11,3,5,5,4,3,7,3,2
MAIL11B2,76,0,7,3,2,7,2,2,1,7,4,3,1,11,2
MAIL11DA,76,0,0,3,3,3,4,5,3,1,4,4,12,5,5
MAIL11EU,76,0,2,1,4,9,3,2,3,3,11,6,3,2,3
MAIL11HU,76,0,4,4,1,1,4,2,3,2,6,11,2,9,3
MAIL11JL,76,0,3,4,11,2,3,4,6,1,3,3,3,6,3
MAIL11L4,76,0,4,5,2,6,2,3,11,3,2,3,3,1,7
MAIL11RD,76,0,11,3,8,2,2,3,4,3,6,3,1,3,3
MAIL11RR,76,0,2,4,6,3,3,2,2,11,4,5,4,4,2
MAIL11V2,76,0,9,4,7,2,11,2,1,1,4,1,2,5,3
MAIL121K,76,0,1,1,2,2,6,1,8,3,3,4,7,3,11
MAIL122Q,76,0,11,4,2,6,5,3,3,7,3,2,3,2,1
MAIL1231,76,0,7,12,2,1,0,3,3,5,5,6,2,3,3
MAIL124N,76,0,3,2,6,4,8,2,2,3,3,4,2,2,11
MAIL127Z,76,0,2,2,2,4,4,4,1,2,6,6,6,11,2
MAIL12B9,76,0,4,3,5,11,3,4,3,2,5,2,4,4,2
MAIL12BQ,76,0,5,11,4,3,5,3,2,2,2,3,1,4,7
MAIL12F3,76,0,6,5,3,11,5,3,4,4,3,2,1,3,2
MAIL12F5,76,0,4,2,2,4,11,6,5,1,1,6,1,5,4
MAIL12HZ,76,0,5,4,3,11,2,4,3,2,4,1,3,6,4
MAIL12IG,76,0,3,3,3,5,7,11,2,4,3,5,3,1,2
MAIL12JB,76,0,3,2,2,11,3,5,4,5,1,4,3,6,3
MAIL12MV,76,0,1,2,3,4,5,3,2,7,4,2,11,5,3
MAIL12Q9,76,0,2,1,1,5,2,11,3,1,5,6,2,6,7
MAIL12UD,76,0,8,2,2,1,2,3,5,3,3,3,6,11,3
MAIL12WS,76,0,6,11,4,2,4,1,6,2,4,2,1,3,6
MAIL1317,76,0,4,5,2,3,2,1,4,11,3,4,4,5,4
MAIL133A,76,0,3,4,3,3,11,3,4,5,4,6,3,2,1
MAIL134O,76,0,5,11,7,2,2,2,1,3,1,2,6,5,5
MAIL135N,76,0,6,2,4,5,1,4,3,6,2,11,3,2,3
MAIL1365,76,0,4,3,11,1,4,5,3,2,1,1,5,9,3
MAIL13A6,76,0,3,3,1,7,4,3,4,1,6,2,11,3,4
MAIL13AC,76,0,4,1,0,3,12,7,5,2,5,4,2,3,4
MAIL13FT,76,0,5,5,3,2,2,4,1,2,4,4,11,5,4
MAIL13GD,76,0,3,1,5,11,1,5,4,4,3,3,5,4,3
MAIL13GL,76,0,3,1,11,3,2,2,7,4,4,3,2,3,7
MAIL13HO,76,0,1,2,4,5,12,4,4,0,4,6,3,1,6
MAIL13HT,76,0,3,2,1,4,6,4,2,6,2,4,5,2,11
MAIL13IC,76,0,2,11,1,5,5,2,3,3,3,4,3,3,7
MAIL13K8,76,0,5,3,11,5,2,4,3,5,3,4,3,1,3
MAIL13NI,76,0,11,8,1,4,2,3,4,3,4,4,2,2,4
MAIL13RS,76,0,1,3,3,3,2,2,4,3,6,5,7,2,11
MAIL13T9,76,0,12,3,6,1,5,4,6,3,3,1,2,6,0
MAIL13TT,76,0,5,3,5,5,2,11,3,1,4,6,3,2,2
MAIL13WX,76,0,4,6,6,2,11,2,2,7,4,3,1,2,2
MAIL13XB,76,0,3,2,3,3,3,4,2,3,4,6,11,4,4
MAIL13Y4,76,0,11,3,1,5,3,2,2,5,6,4,3,2,5
MAIL143N,76,0,2,5,2,5,3,5,1,2,5,11,3,5,3
MAIL1455,76,0,5,11,3,6,2,1,4,3,2,6,4,3,2
MAIL1466,76,0,3,7,11,2,3,2,2,4,2,4,5,3,4
MAIL1469,76,0,2,4,4,4,5,1,3,5,6,1,4,2,11
MAIL147F,76,0,5,4,4,11,2,4,4,3,2,2,4,4,3
MAIL147X,76,0,0,12,4,2,7,3,1,6,3,1,7,2,4
MAIL14AO,76,0,7,2,2,2,3,11,2,6,3,1,4,6,3
MAIL14BV,76,0,4,1,3,5,5,2,4,4,2,11,3,5,3
MAIL14D8,76,0,3,11,3,1,1,1,4,8,6,4,2,4,4
MAIL14DI,76,0,11,5,1,4,5,3,1,2,3,5,4,2,6
MAIL14FX,76,0,2,0,4,12,5,4,3,4,5,5,3,2,3
MAIL14JE,76,0,4,2,5,2,3,1,11,2,4,8,2,6,2
MAIL14L9,76,0,5,6,6,7,3,2,11,2,1,2,4,2,1
MAIL14M1,76,0,0,4,3,3,4,7,12,1,4,3,5,3,3
MAIL14OU,76,0,4,6,5,3,3,3,4,3,2,11,2,3,3
MAIL14RA,76,0,6,1,2,4,2,11,4,4,6,4,2,1,5
MAIL14UR,76,0,0,2,3,6,5,4,5,4,2,2,2,12,5
MAIL14VK,76,0,5,1,4,5,4,1,4,8,2,4,11,1,2
MAIL151R,76,0,2,1,6,2,4,11,3,3,3,3,5,5,4
MAIL15H2,76,0,3,1,11,3,2,3,3,5,5,3,5,2,6
MAIL15IE,76,0,4,4,3,2,2,11,1,8,3,3,6,2,3
MAIL15J2,76,0,3,5,2,4,3,2,7,2,2,3,4,4,11
MAIL15J4,76,0,2,2,8,5,6,2,11,2,3,4,1,3,3
MAIL15P3,76,0,4,3,4,1,3,2,6,2,1,1,7,7,11
MAIL15QG,76,0,2,5,4,2,4,6,6,2,1,4,11,4,1
MAIL15U6,76,0,6,1,2,11,3,1,1,2,5,5,2,4,9
MAIL15VQ,76,0,7,3,3,2,11,6,3,1,2,3,3,6,2
MAIL15YL,76,0,4,4,11,3,5,6,4,3,3,1,2,2,4
MAIL161M,76,0,2,8,1,1,4,4,3,5,3,2,11,2,6
MAIL1633,76,0,6,11,3,5,1,3,4,5,2,4,3,3,2
MAIL1672,76,0,3,4,4,11,2,2,1,3,6,6,4,4,2
MAIL167L,76,0,1,3,5,2,2,5,2,4,4,6,2,11,5
MAIL16AL,76,0,2,11,1,2,5,1,3,5,4,4,1,6,7
MAIL16IB,76,0,4,2,11,1,5,2,3,4,6,3,5,3,3
MAIL16N9,76,0,4,4,0,4,2,3,4,4,2,4,6,3,12
MAIL16NP,76,0,11,3,3,6,3,2,3,2,6,2,7,3,1
MAIL16RA,76,0,2,2,6,7,0,2,12,2,4,3,1,4,7
MAIL16Y7,76,0,4,3,11,2,5,4,4,3,4,3,3,4,2
MAIL171G,76,0,3,7,3,1,2,11,2,3,6,4,2,3,5
MAIL1739,76,0,2,3,7,6,3,2,4,11,4,5,1,3,1
MAIL1748,76,0,3,2,3,4,3,1,7,2,4,5,2,11,5
MAIL177S,76,0,7,3,3,3,4,4,1,2,4,3,11,4,3
MAIL1786,76,0,3,4,5,2,2,4,2,3,5,11,4,3,4
MAIL1798,76,0,4,2,6,2,2,5,3,5,1,5,3,11,3
MAIL179G,76,0,3,1,5,6,7,3,1,5,5,1,11,1,3
MAIL179P,76,0,4,5,2,3,2,4,6,1,4,3,4,3,11
MAIL17BG,76,0,3,4,3,6,2,5,4,1,4,11,5,2,2
MAIL17DS,76,0,7,5,2,2,5,2,1,4,5,3,2,11,3
MAIL17DU,76,0,2,1,3,11,2,6,4,2,2,6,2,7,4
MAIL17HJ,76,0,4,5,2,5,4,3,1,3,4,3,5,2,11
MAIL17HQ,76,0,3,2,2,3,3,1,3,6,3,2,11,9,4
MAIL17JC,76,0,4,3,2,2,3,5,4,3,4,1,7,11,3
MAIL17LV,76,0,2,4,2,2,5,4,4,3,5,4,5,11,1
MAIL17M4,76,0,11,3,1,7,3,6,2,2,5,4,2,2,4
MAIL17MI,76,0,11,2,1,5,3,4,2,3,3,2,3,8,5
MAIL17NN,76,0,3,1,3,4,5,7,6,3,2,2,2,11,3
MAIL17OY,76,0,11,2,1,1,2,4,5,3,3,2,4,9,5
MAIL17PM,76,0,4,2,3,1,4,2,2,5,5,11,8,3,2
MAIL17PN,76,0,3,2,5,4,3,5,1,5,4,5,3,11,1
MAIL17PY,76,0,5,1,5,3,1,3,6,1,5,5,1,5,11
MAIL17S2,76,0,3,2,3,7,3,3,4,5,2,3,2,11,4
MAIL17S9,76,0,4,3,2,6,2,11,3,3,4,2,3,6,3
MAIL17SQ,76,0,2,3,2,4,5,5,5,11,2,2,5,4,2
MAIL17TV,76,0,3,3,3,5,3,5,2,6,1,11,3,4,3
MAIL17UH,76,0,5,5,2,3,2,3,4,3,2,5,4,3,11
MAIL17ZF,76,0,3,2,5,4,3,2,1,11,3,8,3,5,2
MAIL184G,76,0,3,3,6,4,2,5,3,1,2,4,11,5,3
MAIL1866,76,0,1,6,2,3,5,3,6,3,3,2,4,3,11
MAIL186Q,76,0,3,1,6,3,3,11,1,4,4,5,4,4,3
MAIL186T,76,0,2,5,3,2,4,4,8,2,2,1,5,11,3
MAIL189I,76,0,1,4,11,4,5,6,5,1,4,4,2,1,4
MAIL18CR,76,0,6,2,5,2,6,2,5,3,2,1,11,4,3
MAIL18G6,76,0,6,0,5,2,4,12,5,6,2,3,1,2,4
MAIL18J6,76,0,5,11,5,2,4,2,1,5,4,3,2,3,5
MAIL18L3,76,0,2,2,6,4,2,3,7,3,3,1,11,4,4
MAIL18N5,76,0,12,0,4,1,5,6,2,4,1,1,8,6,2
MAIL18RO,76,0,2,2,6,11,3,5,4,1,4,3,2,6,3
MAIL18SE,76,0,1,4,4,3,3,3,5,1,2,5,6,11,4
MAIL18VH,76,0,2,5,1,11,2,4,3,5,4,3,6,2,4
MAIL1929,76,0,5,1,4,2,4,4,4,3,11,2,2,2,8
MAIL1943,76,0,7,4,4,1,12,4,3,0,4,3,3,4,3
MAIL197O,76,0,5,5,3,5,4,11,3,1,1,5,2,3,4
MAIL19A5,76,0,3,1,5,1,12,6,2,3,6,7,3,0,3
MAIL19AL,76,0,3,12,2,7,3,5,3,4,2,0,2,4,5
MAIL19BJ,76,0,3,11,2,4,5,1,4,4,4,7,1,4,2
MAIL19CI,76,0,11,3,6,2,4,2,2,4,3,3,4,2,6
MAIL19ER,76,0,3,7,2,1,4,11,4,3,5,3,4,3,2
MAIL19FW,76,0,3,5,4,1,2,5,1,5,5,4,3,11,3
MAIL19JU,76,0,1,4,11,1,5,5,2,2,6,1,4,7,3
MAIL19S9,76,0,2,5,11,3,1,3,5,6,3,2,6,1,4
MAIL19TS,76,0,11,4,1,1,1,3,4,5,8,4,1,5,4
MAIL19UH,76,0,1,1,4,4,11,5,3,3,2,6,5,5,2
MAIL19UL,76,0,5,1,2,2,4,4,2,4,5,11,7,1,4
MAIL19Z7,76,0,2,5,1,4,2,3,4,3,3,3,11,5,6
MAIL1AB9,76,0,5,2,7,2,5,4,4,11,2,2,4,3,1
MAIL1AC4,76,0,2,4,5,11,2,4,4,4,1,2,4,5,4
MAIL1AJG,76,0,2,4,11,3,4,3,4,6,6,2,4,2,1
MAIL1AL1,76,0,1,2,5,11,2,4,2,5,9,3,1,4,3
MAIL1AMT,76,0,2,11,3,6,6,5,2,5,2,1,3,3,3
MAIL1AN2,76,0,3,12,4,2,5,3,4,4,0,5,7,2,1
MAIL1ANP,76,0,4,3,5,2,2,2,11,2,4,6,3,3,5
MAIL1AOZ,76,0,3,2,3,1,6,11,8,1,5,5,3,1,3
MAIL1AWZ,76,0,1,5,1,2,5,11,4,4,2,3,5,6,3
MAIL1AZ5,76,0,4,3,1,5,5,1,7,11,2,2,4,4,3
MAIL1B13,76,0,3,2,12,3,0,3,3,4,5,5,3,3,6
MAIL1B1P,76,0,11,5,4,9,4,3,1,2,5,1,3,2,2
MAIL1B4C,76,0,5,2,3,2,4,4,6,11,3,3,3,3,3
MAIL1B6V,76,0,2,3,3,3,11,2,6,2,4,5,1,4,6
MAIL1B75,76,0,11,3,2,4,2,4,8,3,2,5,4,1,3
MAIL1B8R,76,0,4,11,5,3,2,4,3,2,3,2,6,2,5
MAIL1BBD,76,0,7,11,3,2,2,4,3,4,1,2,6,4,3
MAIL1BCM,76,0,4,11,4,4,3,5,2,4,4,3,4,2,2
MAIL1BE2,76,0,7,2,5,2,5,3,4,2,7,1,12,0,2
MAIL1BFX,76,0,4,7,4,6,3,3,12,2,2,0,2,3,4
MAIL1BGB,76,0,5,11,1,5,3,3,7,2,2,1,4,2,6
MAIL1BHB,76,0,3,2,5,8,2,4,1,11,3,3,3,4,3
MAIL1BHI,76,0,3,11,1,7,5,2,3,3,3,4,2,6,2
MAIL1BIG,76,0,3,4,3,2,2,6,11,5,4,3,1,4,4
MAIL1BK8,76,0,1,5,5,1,4,2,11,3,4,2,5,6,3
MAIL1BLP,76,0,3,7,1,5,2,11,3,3,2,4,5,4,2
MAIL1BNI,76,0,4,5,4,4,3,2,11,2,6,3,4,3,1
MAIL1BNK,76,0,3,1,2,7,3,9,3,1,11,2,3,5,2
MAIL1BO2,76,0,4,3,4,1,4,1,6,6,3,1,3,11,5
MAIL1BOE,76,0,6,4,3,1,5,1,4,4,4,4,2,11,3
MAIL1BQE,76,0,3,4,3,4,3,5,5,3,5,3,11,1,2
MAIL1BRA,76,0,3,3,2,1,3,11,4,7,6,5,1,2,4
MAIL1BSN,76,0,2,3,2,4,4,11,3,1,4,5,5,4,4
MAIL1BVT,76,0,4,1,4,4,4,2,5,5,1,11,5,3,3
MAIL1BW6,76,0,4,12,3,1,3,0,9,4,6,1,3,2,4
MAIL1BXD,76,0,6,1,6,4,1,4,2,1,11,3,5,5,3
MAIL1BZR,76,0,3,4,2,2,2,5,4,4,6,2,11,5,2
MAIL1C5G,76,0,5,1,3,1,3,5,11,3,2,6,6,2,4
MAIL1C8Q,76,0,9,3,2,3,7,2,4,1,1,11,3,2,4
MAIL1C8S,76,0,5,3,4,4,2,3,5,12,3,4,0,3,4
MAIL1C92,76,0,5,2,3,11,6,4,7,1,2,2,5,2,2
MAIL1C9P,76,0,3,7,3,5,2,1,2,4,3,6,3,2,11
MAIL1CAH,76,0,2,3,4,2,2,3,4,11,3,6,3,3,6
MAIL1CFE,76,0,1,7,2,4,3,3,2,11,5,6,4,3,1
MAIL1CKP,76,0,4,1,5,2,4,5,4,2,4,4,4,2,11
MAIL1CKU,76,0,3,3,6,4,2,5,11,4,2,3,4,1,4
MAIL1CKZ,76,0,7,3,2,2,4,4,2,3,2,11,3,4,5
MAIL1CML,76,0,3,1,11,4,2,5,3,5,4,2,5,3,4
MAIL1CU7,76,0,4,3,3,2,11,3,5,3,2,5,6,3,2
MAIL1CVI,76,0,3,11,4,6,4,2,3,1,6,3,2,4,3
MAIL1D2H,76,0,1,3,4,11,3,4,2,5,4,5,6,3,1
MAIL1D3U,76,0,5,3,6,3,2,2,2,1,6,7,2,2,11
MAIL1D5Z,76,0,2,1,4,3,2,7,5,5,4,2,1,11,5
MAIL1D6L,76,0,1,6,6,11,3,5,2,7,2,1,1,3,4
MAIL1DNS,76,0,9,2,3,2,2,6,1,3,3,11,2,4,4
MAIL1DPZ,76,0,1,1,11,4,2,1,3,8,5,7,6,1,2
MAIL1DQG,76,0,1,3,8,12,3,4,3,0,4,2,4,5,3
MAIL1DQL,76,0,3,2,4,4,6,12,0,2,3,8,3,4,1
