Seed,Score,Natural Negative Jokers,Natural Negative Jokers Desired,Turtle Bean,Joker Stencil,Negative_Joker Stencil,Oops All 6s,Negative_Oops All 6s
NOOBM92K,16,0,5,0,1,2,0,4
PLEBRAZG,16,2,5,0,3,1,0,1
POOPQ1UH,16,2,4,0,2,1,0,1
REKTKU4L,16,2,5,0,1,1,0,3
ROFL6NWH,16,2,5,0,1,1,0,3
ROFLFAOJ,16,1,5,0,2,3,0,1
ROFLKVFO,16,0,5,0,2,2,0,3
SCUM9ZL5,16,1,6,0,2,0,0,4
SHOTA5OJ,16,0,6,0,2,1,0,3
SLIMEQV,16,2,5,0,1,2,0,2
SNOTAUCL,16,2,3,0,1,1,0,3
SNOTK1D9,16,0,6,0,2,3,0,1
SWAG1WMN,16,2,4,0,2,1,1,1
SWAGP4OU,16,0,6,0,2,2,0,2
WEEDMVD7,16,0,5,0,2,2,0,3
YOLO9H38,16,0,5,0,1,4,0,2
YOLOATT4,16,1,5,0,1,2,0,3
YOLOE5LB,16,0,6,0,2,2,0,2
1BILEVP6,15,1,5,0,2,2,0,1
1DOPEO47,15,1,5,0,4,0,0,2
2US8,15,2,5,0,1,2,0,1
BEERLDNK,15,1,5,0,2,1,0,2
BILE19TW,15,1,5,0,2,2,0,1
BILE3Q3R,15,1,5,0,2,1,0,2
BLOWARF2,15,1,5,0,1,3,0,1
BOOBXLHK,15,1,5,0,1,2,0,2
BURPFNZE,15,1,5,0,1,1,0,3
BUTTE2A1,15,3,4,0,1,2,0,1
BUTTFEQR,15,0,5,0,1,2,0,3
CRUD6A5D,15,1,5,0,2,4,0,0
CRUDICGD,15,2,4,0,1,3,0,1
CRUDLH2F,15,1,5,0,1,1,0,3
CRUDYECZ,15,0,5,0,2,1,0,3
DAMN1QXJ,15,2,4,0,1,2,0,2
DAMNAFU2,15,1,5,0,2,0,0,4
DAMNGTW1,15,1,5,0,2,2,0,1
DAMNJQID,15,1,5,0,1,3,0,1
DAMNKXG6,15,1,5,0,3,1,0,1
DAMNO23N,15,2,4,0,3,1,0,1
DAMNP7Z,15,0,5,0,1,1,0,4
DERP6EU3,15,3,4,0,1,1,0,2
DOPE7TFQ,15,3,4,0,2,1,0,1
DRUG33EW,15,2,4,0,1,2,0,2
DRUG7C3Q,15,1,5,0,2,2,0,1
DRUGBETF,15,1,5,0,2,1,0,2
EPICH3BZ,15,0,5,0,0,3,0,4
EPICVLTG,15,1,5,0,1,2,0,2
EWWW8DJ6,15,3,4,0,1,1,0,2
EWWWXVXO,15,0,5,0,1,3,0,2
FAIL5DAE,15,1,4,0,2,3,0,1
FAILN7GG,15,1,5,0,2,2,0,1
FARTM7NK,15,1,5,0,1,2,0,2
FIRE2CNQ,15,2,3,0,1,2,0,1
FIRE7VOK,15,0,4,0,3,2,0,2
FIREEHMX,15,2,3,0,1,1,0,4
FIREHE14,15,2,5,0,1,2,0,1
GUNK2DZD,15,0,6,0,2,4,0,0
GUNKNIMB,15,1,4,0,2,2,0,2
HAHA8HNT,15,1,5,0,2,1,0,2
HAHAYQYY,15,1,5,0,1,1,0,3
HELL9C1C,15,1,4,0,1,3,0,2
HELLBJK4,15,2,5,0,4,0,0,1
HELLFDCT,15,2,5,0,1,1,0,2
HELLYO9E,15,1,5,0,2,1,0,2
HIGHXOFY,15,0,5,0,1,3,0,2
JOKECH81,15,2,4,0,2,2,0,1
JOKEN9OB,15,2,4,0,1,2,0,2
JOKENLCQ,15,3,5,0,1,1,0,1
KEKS83H6,15,0,5,0,3,1,0,2
KEKSEBXO,15,1,5,0,3,1,0,1
LMAO8SXN,15,3,4,0,2,1,0,1
LMAOA8RF,15,1,5,0,1,1,0,3
LMAOHYG3,15,0,5,0,1,3,0,2
LMAOTA3A,15,3,3,0,3,0,0,3
LULZ3FRE,15,0,5,0,2,2,0,2
MEMEEGA6,15,0,6,0,4,2,0,0
MEMEFO88,15,0,6,0,3,1,0,1
MEMEWPF7,15,0,5,0,1,3,0,2
MOLD7BAU,15,2,4,0,1,2,0,2
MOLDJHJ5,15,2,5,0,4,0,0,1
MOLDQOXV,15,0,5,0,1,1,0,4
MOLDXQQA,15,1,6,0,3,0,0,2
NOOB72XI,15,1,5,0,2,1,0,2
NOOB76ND,15,2,4,0,1,1,0,3
NOOB8AJX,15,0,5,0,3,1,0,2
NOOBMZTO,15,0,5,0,4,1,0,1
NOOBRQSL,15,2,4,0,1,2,0,2
PLEBKIHM,15,3,4,0,1,1,0,2
POOP9HVM,15,3,3,0,2,1,0,2
POOPDCKI,15,2,5,0,3,2,0,0
POOPMJ7,15,1,5,0,1,1,0,3
POOPU2RU,15,1,5,0,1,3,0,1
REKTI1SM,15,2,5,0,3,0,0,2
ROFL2JWG,15,2,5,0,3,2,0,0
ROFLW6PL,15,0,6,0,1,1,0,3
ROFLZZUE,15,0,6,0,4,2,0,0
SEXY2DGN,15,1,4,0,2,2,0,2
SEXYBHJA,15,1,5,0,1,2,0,2
SEXYE1F1,15,1,5,0,1,2,0,2
SEXYPO58,15,0,5,0,4,1,0,1
SHOT8QCU,15,0,5,0,3,2,0,1
SHOTX1AC,15,0,5,0,3,1,0,2
SHOTZZW4,15,0,6,0,1,2,0,2
SICK3PUR,15,2,4,0,2,2,1,0
SNOTIOW7,15,0,5,0,2,3,0,1
SNOTJ2M3,15,3,4,0,1,1,0,2
SUCK6GZ8,15,2,5,0,4,0,0,1
SUCKZER8,15,0,6,0,1,3,0,1
SUCKZGHU,15,1,5,0,3,1,0,1
WEED5UOU,15,0,6,0,1,1,0,3
WEEDI9UV,15,1,4,0,2,1,0,3
WEEDRBXW,15,1,4,0,1,1,1,2
WEEDXCN4,15,4,3,0,2,1,0,1
WINEBYBD,15,3,5,0,1,0,0,3
WINEHMNC,15,1,5,0,3,1,0,1
YOLO8CPB,15,2,5,0,1,1,0,2
YUCKJTKS,15,1,5,0,1,1,0,3
1FIRETS3,14,1,3,0,1,1,0,2
1HELLBNA,14,0,5,0,1,3,0,1
1SICKLJS,14,0,5,0,1,3,0,1
1WEEDEIH,14,0,5,0,2,2,0,1
2RUD,14,1,4,0,1,2,0,2
ACID2H15,14,3,3,0,2,1,0,1
ACID2Y14,14,3,3,0,0,2,1,1
ACID4DFU,14,1,5,0,3,2,0,0
ACID7IM,14,2,4,0,1,2,0,1
ACIDLKP9,14,4,3,0,1,1,0,1
ACIDZ63Y,14,0,5,0,2,1,0,2
BEER375P,14,0,5,0,3,1,0,1
BEERH8IG,14,0,5,0,3,1,0,1
BEERPADC,14,0,5,0,1,2,0,2
BEERU2OC,14,1,4,0,3,1,0,1
BILE8UJJ,14,2,4,0,2,1,0,1
BILEA97L,14,0,5,0,1,1,0,3
BILEDQTI,14,1,4,0,2,1,0,2
BILEL9Q2,14,1,4,0,2,2,0,1
BILEWLHH,14,1,4,0,1,2,0,2
BILEZF8E,14,2,4,0,3,0,0,2
BLOW3AMM,14,1,5,0,1,2,0,1
BLOWGNNP,14,2,4,0,1,1,0,2
BLOWO8PI,14,2,4,0,2,1,0,1
BLOWYIA2,14,2,3,0,1,1,0,1
BOOBCCOO,14,2,4,0,1,1,0,2
BOOBEOS1,14,1,5,0,0,3,0,2
BOOBMT8Q,14,0,5,0,3,0,0,3
BOOBNZPD,14,2,4,0,2,1,0,1
BOOBVHQG,14,2,4,0,1,1,0,2
BURPJZGW,14,0,5,0,1,1,0,3
BURPL2QQ,14,1,5,0,1,1,0,2
BUTT1AS2,14,0,4,0,2,1,0,3
BUTTRL5E,14,2,4,0,4,1,0,0
BUTTXWD9,14,2,4,0,2,1,0,1
BUTTYGDC,14,1,5,0,3,0,0,2
BUZZ28NQ,14,0,5,0,1,1,0,3
BUZZCD68,14,1,4,0,2,1,0,2
BUZZQ44S,14,2,4,0,1,2,0,1
BUZZX1TI,14,2,4,0,1,2,0,1
CRUDDDV7,14,1,5,0,0,1,0,4
CRUDKK5K,14,1,5,0,1,2,0,1
CRUDLD2E,14,2,4,0,1,2,0,1
CRUDSKQG,14,3,3,0,2,1,0,1
DAMN1Z6Q,14,0,5,0,3,1,0,1
DAMN542H,14,0,5,0,3,1,0,1
DAMNMRPS,14,2,4,0,2,1,0,1
DAMNS5M,14,1,4,0,2,1,0,2
DERPCW53,14,2,3,0,1,1,0,1
DERPTF7A,14,0,5,0,3,1,0,1
DOPE3SHU,14,0,5,0,1,1,0,3
DOPE3V5M,14,0,5,0,2,1,0,2
DOPEDJ43,14,2,3,0,1,2,0,2
DOPENB8R,14,1,4,0,1,1,0,3
DOPEQ9GR,14,2,4,0,3,0,0,2
DOPEQDIW,14,0,5,0,1,2,0,2
DRUG6D1F,14,1,5,0,1,1,0,2
DRUGLVZ8,14,3,3,0,1,2,0,1
EPIC19FH,14,1,4,0,1,2,0,2
EPIC9LE,14,2,5,0,1,3,0,0
EPIC9QBO,14,0,6,0,3,0,0,2
EPICKESV,14,4,3,0,2,2,0,0
EPICLU85,14,2,4,0,2,1,0,1
EPICQYS2,14,0,6,0,0,2,0,3
EPICTEA5,14,2,4,0,1,2,0,1
EPICWMHD,14,1,4,0,1,3,0,1
EWWW3GX1,14,1,4,0,1,2,0,2
EWWW4NSO,14,2,4,0,1,2,0,1
FAILF69I,14,1,5,0,1,2,0,1
FAILL1BU,14,2,4,0,2,1,0,1
FAILTDN6,14,1,5,0,1,2,0,1
FART4RG1,14,2,4,0,1,2,0,1
FARTLD6C,14,0,5,0,3,1,0,1
FIRE3S1E,14,0,4,0,2,1,0,3
FIREBRF6,14,3,4,0,3,1,0,0
FIREI6HW,14,1,5,0,1,2,0,1
FIREMGU1,14,0,5,0,1,1,0,3
FIRESDBW,14,0,5,0,1,3,0,1
GUNKB117,14,0,4,0,2,2,0,2
GUNKHX85,14,2,4,0,4,1,0,0
GUNKJ681,14,1,5,0,0,3,0,2
GUNKQZ5D,14,0,5,0,1,1,0,3
GUNKRXBF,14,0,5,0,1,1,0,3
GUNKZQLB,14,0,5,0,3,1,0,1
HAHA3Q59,14,1,5,0,4,0,0,1
HAHAFYGE,14,0,5,0,1,3,0,1
HAHAJ4AT,14,3,3,0,1,0,0,2
HAHAJOCH,14,0,5,0,1,3,0,1
HAHARR7G,14,0,5,0,2,1,0,2
HELL3AXX,14,2,3,0,2,2,0,1
HELL3TXM,14,0,5,0,2,2,0,1
HELL4HHS,14,0,5,0,3,1,0,1
HELLJQGH,14,1,4,0,1,2,0,2
HELLNHQX,14,2,4,0,1,1,0,2
HELLRBGR,14,1,4,0,2,1,0,2
HELLVICD,14,1,3,0,1,2,1,1
HIGH7X35,14,1,4,0,2,1,0,2
HIGHD9WZ,14,0,5,0,2,1,0,2
HIGHEK1T,14,1,4,0,2,1,0,2
HIGHO95V,14,1,5,0,1,2,0,1
HIGHXAVT,14,1,4,0,1,2,0,2
HIGHYH4V,14,0,5,0,3,1,0,1
JOKE74A9,14,0,5,0,1,2,0,2
JOKE9MRT,14,1,5,0,2,1,0,1
JOKER69O,14,0,5,0,2,1,0,2
KEKS3IFB,14,2,4,0,1,1,0,2
KEKS3K9X,14,0,6,0,0,2,0,3
KEKSNWXC,14,3,3,0,0,2,0,1
KEKSTRPL,14,2,4,0,3,0,0,2
KLC,14,1,4,0,1,1,0,3
LMAOAITV,14,1,5,0,1,2,0,1
LMAOJLZ3,14,0,5,0,3,3,0,0
LMAOZ9BS,14,2,4,0,1,1,0,2
LULZ8ACU,14,0,5,0,2,1,0,2
LULZ9CUB,14,0,5,0,1,3,0,1
LULZEG72,14,3,4,0,0,1,0,3
LULZHCWT,14,0,5,0,2,1,0,2
LULZSPDM,14,4,3,0,3,1,0,0
MEMEAABL,14,0,5,0,1,2,0,2
MEMEPR13,14,0,5,0,1,2,0,2
MOLD3149,14,0,5,0,2,2,0,1
MOLDAG4L,14,1,4,0,3,1,0,1
NOOB2WG5,14,3,4,0,3,0,0,1
NOOB52PM,14,3,4,0,2,0,0,2
NOOB9Q76,14,2,3,0,1,2,0,2
PLEBJIFZ,14,2,4,0,1,1,0,2
PLEBPFYX,14,0,5,0,2,1,0,2
PLEBR7F3,14,0,5,0,1,1,0,3
POOP451Y,14,1,4,0,1,1,0,3
POOP4SUK,14,2,4,0,1,2,0,1
POOPDPQR,14,2,3,0,1,2,0,2
POOPI5BD,14,2,4,0,1,2,0,1
POOPQUUL,14,1,4,0,2,1,0,2
REKTFE3U,14,1,5,0,2,1,0,1
REKTT7XL,14,0,5,0,1,3,0,1
REKTYCON,14,1,5,0,1,2,0,1
ROFL5WGY,14,0,5,0,2,2,0,1
ROFL9ITU,14,0,5,0,2,1,0,2
ROFLIAOU,14,0,5,0,1,2,0,2
ROFLIDDF,14,2,4,0,1,1,0,2
SCUMBS9M,14,0,5,0,1,1,0,3
SCUMHTS5,14,3,4,0,1,0,0,3
SCUMJHVU,14,2,4,0,1,2,0,1
SEXY2CTL,14,1,5,0,1,2,0,1
SEXYI6PD,14,0,4,0,4,1,0,1
SEXYIFPH,14,1,5,0,0,1,0,4
SEXYJY4O,14,0,5,0,1,3,0,1
SEXYOU27,14,0,5,0,1,1,0,3
SHOT5J9L,14,1,5,0,1,1,0,2
SHOT94RS,14,1,4,0,3,1,0,1
SHOTCSXQ,14,0,5,0,2,2,0,1
SHOTNIWF,14,1,4,0,2,1,0,2
SHOTXURA,14,1,5,0,3,2,0,0
SHOTZCCO,14,1,4,0,3,1,0,1
SICK1LFH,14,0,5,0,1,3,0,1
SICKC9XU,14,0,4,0,3,2,0,1
SICKI3GK,14,2,4,0,2,1,0,1
SICKOREF,14,2,4,0,2,1,0,1
SICKZ5AZ,14,1,4,0,1,1,0,3
SNOT2LW1,14,0,5,0,1,3,0,1
SNOTM3D3,14,2,3,0,1,1,1,1
SNOTS5E9,14,2,3,0,0,2,0,4
SNOTTWWG,14,1,4,0,1,2,0,2
SNOTV79Q,14,1,4,0,2,1,0,2
SNOTZZRC,14,0,5,0,3,1,0,1
SUCKBMVQ,14,2,4,0,1,1,0,2
SUCKBXUU,14,3,3,0,0,1,0,2
SWAGDIIZ,14,0,5,0,3,1,0,1
SWAGLPOT,14,1,4,0,3,1,0,1
SWAGOTTR,14,1,5,0,0,3,0,2
SWAGQNHI,14,2,3,0,1,2,0,2
SWAGVP4G,14,1,4,0,2,1,0,2
SWAGX4E3,14,2,4,0,2,1,0,1
WEED5VDA,14,2,4,0,1,1,0,2
WEED8DI7,14,1,5,0,0,2,0,3
WEED9CXA,14,1,4,0,1,3,0,1
WEEDZFGD,14,0,5,0,0,2,0,4
WINEC7KK,14,1,4,0,2,1,0,2
WINEVBQU,14,1,5,0,0,3,0,2
YOLO3XRH,14,0,5,0,1,1,0,3
YOLO7OCJ,14,1,4,0,1,2,0,2
YOLO7OKZ,14,0,6,0,0,4,0,1
YOLOH9FR,14,0,5,0,0,1,0,5
YUCK1QBU,14,0,4,0,2,2,0,2
YUCK4F7S,14,2,4,0,1,2,0,1
YUCKCRUG,14,2,4,0,2,1,0,1
YUCKHS17,14,3,3,0,2,1,0,1
11SICKSV,13,1,4,0,1,1,0,2
1DOPERTI,13,1,4,0,1,2,0,1
1FIRED8G,13,2,4,0,0,2,0,2
1FIREPE5,13,0,5,0,1,4,0,0
1SEXY15N,13,2,3,0,0,2,0,1
ACID3LEG,13,1,4,0,2,1,0,1
ACIDDCQ1,13,1,5,0,1,1,0,1
ACIDG6BW,13,1,5,0,0,1,0,3
ACIDG9WG,13,1,4,0,1,2,0,1
ACIDKPQK,13,1,4,0,2,1,0,1
ACIDQ5BD,13,1,4,0,0,4,0,1
ACIDRUNU,13,0,4,0,1,1,0,3
ACIDVFH6,13,2,4,0,0,1,0,3
ACIDW3KP,13,0,5,0,1,1,0,2
ACIDX9I8,13,1,4,0,1,1,0,2
ACIDXCF,13,0,5,0,2,3,0,0
ACIDZUVV,13,1,4,0,3,0,0,2
BEER3NZP,13,2,3,0,2,1,0,1
BEER5VEM,13,2,3,0,2,0,0,1
BEER8396,13,2,4,0,1,1,0,1
BEERDBC9,13,1,4,0,1,2,0,1
BEERFG2T,13,0,4,0,1,2,0,2
BEERQJ63,13,1,4,0,1,1,0,2
BEERQYNZ,13,0,4,0,3,1,0,1
BEERUB9K,13,0,4,0,3,1,0,1
BILE2A9C,13,1,4,0,1,2,0,1
BILE71FE,13,0,4,0,1,3,0,1
BILECM28,13,3,4,0,2,1,0,0
BILEDQFP,13,1,5,0,0,1,0,3
BLOW8YMK,13,1,4,0,1,1,0,2
BLOWK4TL,13,1,4,0,2,1,0,1
BLOWKVMM,13,1,4,0,2,1,0,1
BLOWV5T3,13,1,4,0,1,2,0,1
BOOBCFLJ,13,0,4,0,2,2,0,1
BOOBYAF4,13,2,4,0,3,1,0,0
BURP279R,13,1,4,0,0,3,0,2
BURP383L,13,0,4,0,3,1,0,1
BURPIVAU,13,0,4,0,2,2,0,1
BURPKAHN,13,1,4,0,1,1,0,2
BURPPAMI,13,1,4,0,1,2,0,1
BURPRZIJ,13,1,4,0,1,2,0,1
BURPTGU2,13,1,4,0,1,2,0,1
BURPXNJV,13,2,3,0,1,2,0,1
BURPZLYZ,13,1,4,0,1,2,0,1
BUTT2RZU,13,1,4,0,1,2,0,1
BUTTLUKL,13,1,4,0,1,1,0,2
BUTTNDE4,13,1,4,0,1,2,0,1
BUTTRBWC,13,0,5,0,1,1,0,2
BUTTZGFR,13,1,4,0,2,1,0,1
BUZZ1S55,13,2,3,0,2,1,0,1
BUZZ22Z2,13,2,3,0,1,1,0,2
BUZZ6ZFI,13,1,4,0,2,1,0,1
BUZZD6AA,13,0,4,0,3,1,0,1
BUZZF4L7,13,0,3,0,1,3,0,2
BUZZG15O,13,1,5,0,0,2,0,2
BUZZHG2,13,1,4,0,2,1,0,1
BUZZU6FB,13,0,4,0,2,2,0,1
BUZZYH9,13,0,5,0,1,2,0,1
CRUD2HOA,13,0,4,0,2,2,0,1
CRUD3VT,13,2,4,0,0,2,0,2
CRUD7DRF,13,0,5,0,1,2,0,1
CRUDDAXE,13,1,3,0,1,1,0,1
CRUDF9CX,13,0,4,0,1,3,0,1
CRUDGXB6,13,2,3,0,1,0,0,2
CRUDSIDJ,13,1,4,0,3,0,0,2
CRUDSNNH,13,0,4,0,2,2,0,1
CRUDTFTL,13,1,4,0,2,1,0,1
DAMNA8NY,13,2,4,0,2,0,0,2
DAMNAFFF,13,3,3,0,1,1,0,1
DAMNAYX8,13,0,4,0,1,2,0,2
DAMNKLJT,13,2,3,0,2,1,0,1
DAMNL3NK,13,0,5,0,1,2,0,1
DAMNO1ZR,13,0,5,0,0,2,0,3
DAMNR86N,13,0,4,0,1,3,0,1
DAMNWWO6,13,5,3,0,0,1,0,1
DERP2K14,13,2,4,0,1,0,0,3
DERP4S7I,13,0,4,0,3,1,0,1
DERP94VV,13,1,3,0,2,1,0,2
DERPCNOB,13,0,5,0,0,3,0,2
DERPHLSE,13,1,4,0,1,2,0,1
DERPJC8E,13,1,4,0,1,1,0,2
DERPOGKO,13,0,5,0,1,2,0,1
DERPZUZZ,13,1,4,0,1,2,0,1
DOPE5ZGE,13,0,4,0,2,1,0,2
DOPEBLBL,13,0,5,0,1,2,0,1
DOPEDKQU,13,2,3,0,1,1,0,2
DOPEDP4D,13,0,4,0,1,3,0,1
DOPEXMPS,13,1,4,0,1,1,0,2
DOPEYXZG,13,1,3,0,1,2,0,2
DOPEZ2NR,13,0,4,0,3,1,0,1
DRUG6QWI,13,0,5,0,1,1,0,2
DRUG74DF,13,1,4,0,2,1,0,1
DRUGHHAX,13,0,5,0,2,3,0,0
DRUGI9TR,13,0,5,0,4,1,0,0
DRUGIP9U,13,0,4,0,2,2,0,1
DRUGN4BP,13,1,4,0,1,2,0,1
DRUGQJKZ,13,1,4,0,2,1,0,1
DRUGRHJ7,13,0,5,0,2,1,0,1
DRUGRRYH,13,1,4,0,2,1,0,1
DRUGS69M,13,1,3,0,1,1,1,1
DRUGT3IE,13,1,4,0,0,2,0,3
EPICEFE,13,1,4,0,1,1,0,2
EPICGUUI,13,1,4,0,1,2,0,1
EPICNL8D,13,0,5,0,0,2,0,3
EPICO15M,13,0,5,0,1,1,0,2
EPICTNQO,13,0,4,0,2,2,0,1
EWWW4KT9,13,0,5,0,4,1,0,0
EWWW57A3,13,3,3,0,0,3,0,1
EWWW97OL,13,0,6,0,0,2,0,2
EWWWANOL,13,2,4,0,1,3,0,0
EWWWBZK2,13,1,5,0,0,3,0,1
EWWWD1M2,13,1,4,0,1,2,0,1
EWWWDL1I,13,2,3,0,1,2,0,1
EWWWJ2EJ,13,1,4,0,2,1,0,1
EWWWN7AX,13,0,4,0,1,3,0,1
EWWWNXR2,13,1,4,0,1,2,0,1
EWWWYG8D,13,2,3,0,2,1,0,1
FAIL1XFR,13,2,4,0,3,0,0,1
FAIL82VO,13,0,4,0,3,1,0,1
FAIL98BV,13,1,4,0,1,1,0,2
FAILBL7A,13,0,4,0,3,1,0,1
FAILD2YS,13,2,3,0,0,2,0,1
FAILIWTY,13,2,4,0,0,2,0,2
FAILRO4R,13,1,5,0,0,3,0,1
FAILTGZC,13,0,4,0,1,3,0,1
FART3WF4,13,2,3,0,2,0,0,3
FARTCORY,13,1,4,0,1,2,0,1
FARTD91H,13,1,4,0,1,2,0,1
FARTGVYV,13,2,4,0,0,2,0,2
FARTHWD8,13,0,3,0,1,2,0,3
FARTIOM1,13,2,3,0,2,1,0,1
FARTN8S2,13,1,4,0,1,1,0,2
FARTQ4RH,13,1,5,0,3,0,0,1
FARTXKK9,13,1,3,0,2,2,1,0
FIRE5CXG,13,1,4,0,2,1,0,1
FIRE6GF4,13,3,2,0,1,1,0,2
FIRE6JKJ,13,0,4,0,1,2,0,2
FIRE7477,13,0,5,0,1,2,0,1
FIRE9YL9,13,0,4,0,1,2,0,2
FIREC17R,13,2,3,0,1,1,0,2
FIREDU5U,13,0,4,0,3,1,0,1
FIREJM57,13,0,5,0,1,0,0,4
FIREKHD6,13,0,3,0,2,2,0,2
FIREQQ55,13,0,4,0,3,3,0,0
FIRER34S,13,2,4,0,0,2,0,2
FIREU1RZ,13,0,4,0,3,1,0,1
FIREZBQ3,13,2,3,0,1,2,0,1
GUNK1643,13,0,5,0,1,1,0,2
GUNK3DM7,13,0,5,0,2,1,0,1
GUNKDLQI,13,0,4,0,1,2,0,2
GUNKFUQI,13,1,4,0,0,2,0,3
GUNKIRHY,13,1,3,0,2,2,0,1
GUNKK9A7,13,0,4,0,2,2,0,1
GUNKL4KQ,13,1,5,0,0,2,0,2
GUNKN2E3,13,1,4,0,1,2,0,1
GUNKN3ZY,13,1,3,0,2,2,0,1
GUNKQBIE,13,0,4,0,0,3,0,3
GUNKQX83,13,0,5,0,2,0,0,3
GUNKRJ8T,13,1,2,0,1,4,0,1
GUNKXX5A,13,0,5,0,1,1,0,2
HAHA4FY3,13,1,3,0,1,1,0,3
HAHA5C2S,13,1,5,0,3,0,0,1
HAHAFSUJ,13,0,5,0,1,2,0,1
HAHAMR2Y,13,1,4,0,2,1,0,1
HAHAOEI,13,0,4,0,3,1,0,1
HAHAWGY7,13,1,4,0,1,2,0,1
HAHAWV1S,13,2,3,0,2,1,0,1
HAHAXC57,13,2,3,0,2,1,0,1
HELL549K,13,0,4,0,2,2,0,1
HELLDJY,13,0,4,0,2,2,0,1
HELLLCMT,13,0,4,0,1,2,0,2
HELLP1BJ,13,1,4,0,2,1,0,1
HELLRA2G,13,1,4,0,1,1,0,2
HELLST3X,13,1,5,0,2,0,0,2
HIGH3MWR,13,0,5,0,0,3,0,2
HIGH4RLA,13,2,3,0,2,1,0,1
HIGH6JE2,13,1,5,0,1,3,0,0
HIGH8RCR,13,0,4,0,1,2,0,2
HIGH9BI,13,0,4,0,2,1,0,2
HIGHHC8T,13,0,4,0,1,2,0,2
HIGHIEK9,13,1,4,0,1,2,0,1
HIGHITN6,13,1,4,0,1,1,0,2
HIGHJ1G8,13,1,4,0,2,1,0,1
HIGHL7OI,13,2,3,0,1,1,0,2
HIGHMB6Q,13,1,4,0,2,1,0,1
HIGHNGV2,13,1,4,0,1,2,0,1
HIGHQS1C,13,1,5,0,0,2,0,2
HIGHQYVN,13,1,4,0,1,1,0,2
HIGHU3GH,13,1,4,0,1,2,0,1
JOKE2GEO,13,0,4,0,1,2,0,2
